#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_116_length_5607_cov_45.575226	75	408	cardnewid_1346	2772-3105/3105	.............==	0/0	10.76	97.31	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_11_length_97096_cov_48.480803	43951	45594	cardnewid_609	1-1644/1644	===============	0/0	100.00	97.20	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_11_length_97096_cov_48.480803	74841	75872	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.77	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_11_length_97096_cov_48.480803	75872	77923	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.98	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_11_length_97096_cov_48.480803	77920	79386	cardnewid_37	1-1467/1467	===============	0/0	100.00	96.59	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_129_length_4430_cov_45.182633	409	1566	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.53	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_129_length_4430_cov_45.182633	1578	4359	cardnewid_1346	1-2782/3105	==============.	0/0	89.60	98.38	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_13_length_91502_cov_42.244933	13936	17049	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.65	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_13_length_91502_cov_42.244933	37756	38230	cardnewid_1625	3-477/477	===============	0/0	99.58	97.05	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_14_length_90693_cov_38.108855	8796	9518	cardnewid_1255	1-723/723	===============	0/0	100.00	96.27	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_14_length_90693_cov_38.108855	9515	10918	cardnewid_929	1-1404/1404	===============	0/0	100.00	92.24	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_14_length_90693_cov_38.108855	12331	15408	cardnewid_1236	1-3078/3078	===============	0/0	100.00	96.10	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_14_length_90693_cov_38.108855	15409	18531	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.25	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_14_length_90693_cov_38.108855	18531	19778	cardnewid_360	1-1248/1248	===============	0/0	100.00	96.96	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_14_length_90693_cov_38.108855	72286	73452	cardnewid_912	1-1167/1167	===============	0/0	100.00	98.03	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_1_length_226227_cov_37.985373	6556	8304	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.74	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_1_length_226227_cov_37.985373	134171	135397	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.13	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_1_length_226227_cov_37.985373	144029	145237	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.01	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_22_length_64308_cov_46.876991	23886	24705	cardnewid_1713	1-820/822	===============	0/0	99.76	97.07	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_22_length_64308_cov_46.876991	45040	46527	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.25	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_24_length_63184_cov_47.855896	14929	16062	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.88	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_2_length_191717_cov_49.266813	15079	15711	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_32_length_52164_cov_39.981013	42528	43936	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.12	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_35_length_49648_cov_33.786246	25612	25995	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_37_length_47098_cov_44.742668	30523	31680	cardnewid_2001	1-1158/1158	===============	0/0	100.00	99.31	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_38_length_46762_cov_47.416001	150	812	cardnewid_486	1-663/663	===============	0/0	100.00	97.89	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
9bbc7fba-c551-4e33-add0-ef55fbd926cb_1_contigs.fa	NODE_3_length_174805_cov_41.000813	66403	67635	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.84	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
