#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_10_length_188481_cov_32.805423	124077	124490	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_11_length_186393_cov_30.596734	127230	130343	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.62	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_11_length_186393_cov_30.596734	161577	161659	cardnewid_1960	1-83/1305	=..............	0/0	6.36	95.18	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_12_length_180694_cov_31.954528	47147	47677	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_12_length_180694_cov_31.954528	47804	48976	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.04	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_12_length_180694_cov_31.954528	48993	50531	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.44	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_14_length_158855_cov_32.365630	148322	148984	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_14_length_158855_cov_32.365630	149383	150540	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_14_length_158855_cov_32.365630	150552	153656	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.62	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_15_length_149039_cov_31.649521	64165	65397	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.27	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_16_length_122706_cov_32.182102	28813	29145	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_19_length_90609_cov_31.854902	42801	44209	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.12	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_1_length_436453_cov_31.672684	31571	35164	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.33	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_1_length_436453_cov_31.672684	35169	35783	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_1_length_436453_cov_31.672684	36307	37362	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.73	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_1_length_436453_cov_31.672684	37362	38900	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.66	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_1_length_436453_cov_31.672684	145945	146913	cardnewid_1968	1-969/969	===============	0/0	100.00	97.63	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_1_length_436453_cov_31.672684	205118	206761	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.38	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_1_length_436453_cov_31.672684	346367	347088	cardnewid_1255	1-722/723	===============	0/0	99.86	97.09	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_1_length_436453_cov_31.672684	347085	348488	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.53	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_1_length_436453_cov_31.672684	349901	352978	cardnewid_1236	1-3078/3078	===============	0/0	100.00	93.99	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_1_length_436453_cov_31.672684	352979	356101	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.16	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_1_length_436453_cov_31.672684	356101	357348	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.59	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_1_length_436453_cov_31.672684	410444	411610	cardnewid_912	1-1167/1167	===============	0/0	100.00	95.97	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
d5f95895-905e-4bca-abbc-f7cb24abeb61_1_contigs.fa	NODE_21_length_78410_cov_32.923149	55913	57280	cardnewid_137	1-1368/1374	===============	0/0	99.56	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
