#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_101_length_5038_cov_68.070349	175	834	cardnewid_716	1-660/660	===============	0/0	100.00	99.85	cardformatted	000716	cardformatted~~~cardnewid_716~~~000716
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_10_length_105516_cov_43.896205	11596	12318	cardnewid_1255	1-723/723	===============	0/0	100.00	100.00	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_10_length_105516_cov_43.896205	12315	13718	cardnewid_929	1-1404/1404	===============	0/0	100.00	100.00	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_10_length_105516_cov_43.896205	15131	18208	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.41	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_10_length_105516_cov_43.896205	18209	21331	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.57	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_10_length_105516_cov_43.896205	21331	22578	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.00	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_10_length_105516_cov_43.896205	76423	77589	cardnewid_912	1-1167/1167	===============	0/0	100.00	96.06	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_12_length_105275_cov_44.224016	40941	42173	cardnewid_2329	1-1233/1233	===============	0/0	100.00	98.38	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_134_length_2359_cov_66.620947	1257	2117	cardnewid_45	1-861/861	===============	0/0	100.00	99.88	cardformatted	000045	cardformatted~~~cardnewid_45~~~000045
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_13_length_97798_cov_45.965013	37933	39306	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.98	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_14_length_96029_cov_44.276888	58936	60579	cardnewid_2133	1-1644/1644	===============	0/0	100.00	100.00	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_16_length_91869_cov_45.049917	63463	65001	cardnewid_1738	1-1539/1539	===============	0/0	100.00	100.00	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_16_length_91869_cov_45.049917	65018	66190	cardnewid_1650	1-1173/1173	===============	0/0	100.00	100.00	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_16_length_91869_cov_45.049917	66317	66847	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_1_length_233563_cov_44.334196	43027	43440	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_20_length_82811_cov_43.137235	80989	81347	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_20_length_82811_cov_43.137235	81339	81663	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_21_length_80445_cov_45.899064	2014	2982	cardnewid_1968	1-969/969	===============	0/0	100.00	100.00	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_24_length_73914_cov_44.578341	12746	13903	cardnewid_2001	1-1158/1158	===============	0/0	100.00	100.00	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_25_length_72091_cov_44.820979	58934	59077	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_25_length_72091_cov_44.820979	63269	63946	cardnewid_2055	1-678/678	===============	0/0	100.00	100.00	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_26_length_69345_cov_45.923009	35634	37172	cardnewid_501	1-1539/1539	===============	0/0	100.00	99.87	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_26_length_69345_cov_45.923009	37172	38227	cardnewid_568	1-1056/1056	===============	0/0	100.00	100.00	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_26_length_69345_cov_45.923009	38751	39365	cardnewid_954	1-615/615	===============	0/0	100.00	100.00	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_26_length_69345_cov_45.923009	39370	42963	cardnewid_1238	1-3594/3594	===============	0/0	100.00	99.97	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_27_length_61234_cov_44.481302	14707	15090	cardnewid_1808	1-384/384	===============	0/0	100.00	100.00	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_28_length_57759_cov_47.337159	12454	13275	cardnewid_1713	1-822/822	===============	0/0	100.00	100.00	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
6aed59cd-df99-47a9-8921-c8de7e828104_1_contigs.fa	NODE_28_length_57759_cov_47.337159	35653	37140	cardnewid_776	1-1488/1488	===============	0/0	100.00	99.93	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
