#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
0a25ee05-6117-4d72-aba4-bafa52db1e01_1_contigs.fa	NODE_10_length_159867_cov_42.599368	85020	86768	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.68	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
0a25ee05-6117-4d72-aba4-bafa52db1e01_1_contigs.fa	NODE_12_length_145636_cov_50.017168	15079	15711	cardnewid_816	1-633/633	===============	0/0	100.00	98.89	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
0a25ee05-6117-4d72-aba4-bafa52db1e01_1_contigs.fa	NODE_13_length_134304_cov_49.994837	31625	33268	cardnewid_609	1-1644/1644	===============	0/0	100.00	97.75	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
0a25ee05-6117-4d72-aba4-bafa52db1e01_1_contigs.fa	NODE_13_length_134304_cov_49.994837	55886	56917	cardnewid_1350	1-1032/1032	===============	0/0	100.00	96.41	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
0a25ee05-6117-4d72-aba4-bafa52db1e01_1_contigs.fa	NODE_13_length_134304_cov_49.994837	56917	58968	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.37	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
0a25ee05-6117-4d72-aba4-bafa52db1e01_1_contigs.fa	NODE_13_length_134304_cov_49.994837	58965	60431	cardnewid_37	1-1467/1467	===============	0/0	100.00	96.66	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
0a25ee05-6117-4d72-aba4-bafa52db1e01_1_contigs.fa	NODE_15_length_120473_cov_41.510582	99533	99865	cardnewid_2240	1-333/333	===============	0/0	100.00	91.89	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
0a25ee05-6117-4d72-aba4-bafa52db1e01_1_contigs.fa	NODE_16_length_113434_cov_42.982471	43489	44721	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.43	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
0a25ee05-6117-4d72-aba4-bafa52db1e01_1_contigs.fa	NODE_1_length_473437_cov_44.915703	54918	56165	cardnewid_360	1-1248/1248	===============	0/0	100.00	96.88	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
0a25ee05-6117-4d72-aba4-bafa52db1e01_1_contigs.fa	NODE_1_length_473437_cov_44.915703	56165	59287	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.77	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
