#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
ab44debe-dbb7-40e9-a495-862c6fce66e3_1_contigs.fa	NODE_10_length_106247_cov_34.614157	54528	55205	cardnewid_2055	1-678/678	===============	0/0	100.00	96.76	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
ab44debe-dbb7-40e9-a495-862c6fce66e3_1_contigs.fa	NODE_119_length_5607_cov_39.956420	5200	5533	cardnewid_1346	2772-3105/3105	.............==	0/0	10.76	97.31	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
ab44debe-dbb7-40e9-a495-862c6fce66e3_1_contigs.fa	NODE_12_length_100912_cov_32.158506	8229	9637	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.12	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
ab44debe-dbb7-40e9-a495-862c6fce66e3_1_contigs.fa	NODE_134_length_4430_cov_37.630370	72	2853	cardnewid_1346	1-2782/3105	==============.	0/0	89.60	98.38	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
ab44debe-dbb7-40e9-a495-862c6fce66e3_1_contigs.fa	NODE_134_length_4430_cov_37.630370	2865	4022	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.53	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
ab44debe-dbb7-40e9-a495-862c6fce66e3_1_contigs.fa	NODE_13_length_94746_cov_41.379987	17711	19177	cardnewid_37	1-1467/1467	===============	0/0	100.00	96.59	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
ab44debe-dbb7-40e9-a495-862c6fce66e3_1_contigs.fa	NODE_13_length_94746_cov_41.379987	19174	21225	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.98	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
ab44debe-dbb7-40e9-a495-862c6fce66e3_1_contigs.fa	NODE_13_length_94746_cov_41.379987	21225	22256	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.67	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
ab44debe-dbb7-40e9-a495-862c6fce66e3_1_contigs.fa	NODE_13_length_94746_cov_41.379987	51503	53146	cardnewid_609	1-1644/1644	===============	0/0	100.00	97.20	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
ab44debe-dbb7-40e9-a495-862c6fce66e3_1_contigs.fa	NODE_14_length_91539_cov_34.092443	53310	53784	cardnewid_1625	3-477/477	===============	0/0	99.58	97.05	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
