#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
82edd306-6d05-45e0-8db9-78cde632bb09_1_contigs.fa	NODE_11_length_197003_cov_28.920544	1001	1825	cardnewid_80	1-825/825	===============	0/0	100.00	93.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
82edd306-6d05-45e0-8db9-78cde632bb09_1_contigs.fa	NODE_11_length_197003_cov_28.920544	2194	2922	cardnewid_2042	1-729/729	===============	0/0	100.00	99.45	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
82edd306-6d05-45e0-8db9-78cde632bb09_1_contigs.fa	NODE_11_length_197003_cov_28.920544	3285	6398	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.27	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
82edd306-6d05-45e0-8db9-78cde632bb09_1_contigs.fa	NODE_11_length_197003_cov_28.920544	6423	7580	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.62	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
82edd306-6d05-45e0-8db9-78cde632bb09_1_contigs.fa	NODE_11_length_197003_cov_28.920544	181369	182001	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
82edd306-6d05-45e0-8db9-78cde632bb09_1_contigs.fa	NODE_12_length_174087_cov_27.341842	75329	78442	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.55	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
82edd306-6d05-45e0-8db9-78cde632bb09_1_contigs.fa	NODE_12_length_174087_cov_27.341842	109776	109858	cardnewid_1960	1-83/1305	=..............	0/0	6.36	95.18	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
82edd306-6d05-45e0-8db9-78cde632bb09_1_contigs.fa	NODE_12_length_174087_cov_27.341842	166399	169992	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.05	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
82edd306-6d05-45e0-8db9-78cde632bb09_1_contigs.fa	NODE_12_length_174087_cov_27.341842	169997	170611	cardnewid_954	1-615/615	===============	0/0	100.00	98.86	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
82edd306-6d05-45e0-8db9-78cde632bb09_1_contigs.fa	NODE_12_length_174087_cov_27.341842	171135	172190	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.54	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
82edd306-6d05-45e0-8db9-78cde632bb09_1_contigs.fa	NODE_12_length_174087_cov_27.341842	172190	173728	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.66	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
