#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_11_length_174193_cov_46.790651	132783	133455	cardnewid_2055	1-673/678	===============	0/0	99.26	96.73	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_12_length_170419_cov_48.125442	69557	70750	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_12_length_170419_cov_48.125442	70773	73922	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.73	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_12_length_170419_cov_48.125442	158673	159830	cardnewid_2001	1-1158/1158	===============	0/0	100.00	98.70	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_13_length_167646_cov_53.006857	27710	29353	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.30	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_13_length_167646_cov_53.006857	58568	59599	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.74	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_13_length_167646_cov_53.006857	59599	61650	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.37	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_13_length_167646_cov_53.006857	61647	63113	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.68	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_14_length_160513_cov_47.517945	101155	104268	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.46	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_14_length_160513_cov_47.517945	135704	135784	cardnewid_1960	1-81/1305	=..............	0/0	6.21	96.30	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_15_length_138718_cov_54.703486	63168	64541	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.40	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_17_length_121296_cov_56.500912	90472	91680	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.35	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_17_length_121296_cov_56.500912	100311	101537	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.37	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_1_length_611384_cov_42.346654	62329	63737	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_1_length_611384_cov_42.346654	171098	171430	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_1_length_611384_cov_42.346654	542343	542701	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.94	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_1_length_611384_cov_42.346654	542693	543017	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_1_length_611384_cov_42.346654	574304	574687	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
7bc4aea8-be8d-41f9-ab0a-995f8a86b406_1_contigs.fa	NODE_2_length_433172_cov_50.339424	360609	362147	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.60	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
