#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
e90a4d62-a381-4365-8243-c4b3b2b5bdf2_1_contigs.fa	NODE_10_length_184787_cov_40.056342	57817	59565	cardnewid_2113	1-1749/1749	===============	0/0	100.00	100.00	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
e90a4d62-a381-4365-8243-c4b3b2b5bdf2_1_contigs.fa	NODE_12_length_147465_cov_40.297894	131831	132463	cardnewid_816	1-633/633	===============	0/0	100.00	99.84	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
e90a4d62-a381-4365-8243-c4b3b2b5bdf2_1_contigs.fa	NODE_13_length_126465_cov_41.519345	63816	65189	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.18	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
e90a4d62-a381-4365-8243-c4b3b2b5bdf2_1_contigs.fa	NODE_14_length_120280_cov_39.943288	8868	9545	cardnewid_2055	1-678/678	===============	0/0	100.00	100.00	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
e90a4d62-a381-4365-8243-c4b3b2b5bdf2_1_contigs.fa	NODE_14_length_120280_cov_39.943288	13737	13880	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
e90a4d62-a381-4365-8243-c4b3b2b5bdf2_1_contigs.fa	NODE_15_length_104539_cov_40.797438	67289	68827	cardnewid_1738	1-1539/1539	===============	0/0	100.00	100.00	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
e90a4d62-a381-4365-8243-c4b3b2b5bdf2_1_contigs.fa	NODE_15_length_104539_cov_40.797438	68844	70016	cardnewid_1650	1-1173/1173	===============	0/0	100.00	100.00	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
e90a4d62-a381-4365-8243-c4b3b2b5bdf2_1_contigs.fa	NODE_15_length_104539_cov_40.797438	70143	70673	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
e90a4d62-a381-4365-8243-c4b3b2b5bdf2_1_contigs.fa	NODE_16_length_95640_cov_40.190461	49888	51120	cardnewid_2329	1-1233/1233	===============	0/0	100.00	97.32	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
e90a4d62-a381-4365-8243-c4b3b2b5bdf2_1_contigs.fa	NODE_19_length_84124_cov_41.124966	10416	11903	cardnewid_776	1-1488/1488	===============	0/0	100.00	100.00	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
e90a4d62-a381-4365-8243-c4b3b2b5bdf2_1_contigs.fa	NODE_1_length_477988_cov_39.814526	42620	43786	cardnewid_912	1-1167/1167	===============	0/0	100.00	96.06	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
e90a4d62-a381-4365-8243-c4b3b2b5bdf2_1_contigs.fa	NODE_1_length_477988_cov_39.814526	99775	101022	cardnewid_360	1-1248/1248	========/======	4/4	99.84	96.40	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
e90a4d62-a381-4365-8243-c4b3b2b5bdf2_1_contigs.fa	NODE_1_length_477988_cov_39.814526	101022	104144	cardnewid_772	1-3123/3123	===============	0/0	100.00	98.01	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
