#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
94a1a012-4aad-401d-99ae-5f621eeb2fdd_1_contigs.fa	NODE_10_length_177660_cov_45.327278	108458	109277	cardnewid_1713	1-820/822	===============	0/0	99.76	98.54	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
94a1a012-4aad-401d-99ae-5f621eeb2fdd_1_contigs.fa	NODE_10_length_177660_cov_45.327278	131636	133123	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.45	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
94a1a012-4aad-401d-99ae-5f621eeb2fdd_1_contigs.fa	NODE_12_length_138459_cov_46.082475	126987	127659	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
94a1a012-4aad-401d-99ae-5f621eeb2fdd_1_contigs.fa	NODE_13_length_137737_cov_45.407439	16136	17884	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.26	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
94a1a012-4aad-401d-99ae-5f621eeb2fdd_1_contigs.fa	NODE_13_length_137737_cov_45.407439	110300	111532	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.92	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
94a1a012-4aad-401d-99ae-5f621eeb2fdd_1_contigs.fa	NODE_15_length_111451_cov_44.186435	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.03	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
94a1a012-4aad-401d-99ae-5f621eeb2fdd_1_contigs.fa	NODE_15_length_111451_cov_44.186435	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
94a1a012-4aad-401d-99ae-5f621eeb2fdd_1_contigs.fa	NODE_15_length_111451_cov_44.186435	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
94a1a012-4aad-401d-99ae-5f621eeb2fdd_1_contigs.fa	NODE_16_length_90856_cov_45.374602	61474	62682	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.43	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
94a1a012-4aad-401d-99ae-5f621eeb2fdd_1_contigs.fa	NODE_16_length_90856_cov_45.374602	71313	72539	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.19	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
94a1a012-4aad-401d-99ae-5f621eeb2fdd_1_contigs.fa	NODE_17_length_88051_cov_45.689601	64130	65503	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.76	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
