#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
a9c5daa7-95dd-4ecb-aad1-c21e42e461b0_1_contigs.fa	NODE_2_length_261187_cov_26.282437	147012	148244	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	97.57	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
a9c5daa7-95dd-4ecb-aad1-c21e42e461b0_1_contigs.fa	NODE_43_length_25696_cov_46.267458	24524	25384	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
a9c5daa7-95dd-4ecb-aad1-c21e42e461b0_1_contigs.fa	NODE_58_length_10116_cov_36.716705	144	1065	resfindernewid_2511	1-921/921	========/======	1/1	100.00	99.67	resfinderformatted	002511	resfinderformatted~~~resfindernewid_2511~~~002511
a9c5daa7-95dd-4ecb-aad1-c21e42e461b0_1_contigs.fa	NODE_58_length_10116_cov_36.716705	144	1049	resfindernewid_2510	1-906/906	===============	0/0	100.00	100.00	resfinderformatted	002510	resfinderformatted~~~resfindernewid_2510~~~002510
a9c5daa7-95dd-4ecb-aad1-c21e42e461b0_1_contigs.fa	NODE_58_length_10116_cov_36.716705	6360	7226	resfindernewid_2779	1-867/867	===============	0/0	100.00	99.88	resfinderformatted	002779	resfinderformatted~~~resfindernewid_2779~~~002779
a9c5daa7-95dd-4ecb-aad1-c21e42e461b0_1_contigs.fa	NODE_58_length_10116_cov_36.716705	7746	8534	resfindernewid_168	1-789/789	===============	0/0	100.00	100.00	resfinderformatted	000168	resfinderformatted~~~resfindernewid_168~~~000168
a9c5daa7-95dd-4ecb-aad1-c21e42e461b0_1_contigs.fa	NODE_58_length_10116_cov_36.716705	8665	9138	resfindernewid_2982	1-474/474	===============	0/0	100.00	100.00	resfinderformatted	002982	resfinderformatted~~~resfindernewid_2982~~~002982
a9c5daa7-95dd-4ecb-aad1-c21e42e461b0_1_contigs.fa	NODE_58_length_10116_cov_36.716705	9157	9323	resfindernewid_159	1-174/972	===...../......	3/7	17.18	95.98	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
a9c5daa7-95dd-4ecb-aad1-c21e42e461b0_1_contigs.fa	NODE_66_length_6811_cov_30.394862	1513	2759	resfindernewid_2879	1-1247/1275	===============	0/0	97.80	100.00	resfinderformatted	002879	resfinderformatted~~~resfindernewid_2879~~~002879
a9c5daa7-95dd-4ecb-aad1-c21e42e461b0_1_contigs.fa	NODE_66_length_6811_cov_30.394862	3738	4574	resfindernewid_41	1-837/837	===============	0/0	100.00	99.88	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
a9c5daa7-95dd-4ecb-aad1-c21e42e461b0_1_contigs.fa	NODE_66_length_6811_cov_30.394862	4574	5377	resfindernewid_239	1-804/804	===============	0/0	100.00	100.00	resfinderformatted	000239	resfinderformatted~~~resfindernewid_239~~~000239
a9c5daa7-95dd-4ecb-aad1-c21e42e461b0_1_contigs.fa	NODE_66_length_6811_cov_30.394862	5438	6253	resfindernewid_2805	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002805	resfinderformatted~~~resfindernewid_2805~~~002805
a9c5daa7-95dd-4ecb-aad1-c21e42e461b0_1_contigs.fa	NODE_90_length_2175_cov_50.196378	1122	1982	resfindernewid_115	1-861/861	===============	0/0	100.00	99.88	resfinderformatted	000115	resfinderformatted~~~resfindernewid_115~~~000115
