#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_10_length_196230_cov_44.382380	15002	15634	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_10_length_196230_cov_44.382380	189211	190368	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.45	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_10_length_196230_cov_44.382380	190393	193506	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.27	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_10_length_196230_cov_44.382380	193869	194597	cardnewid_2042	1-729/729	===============	0/0	100.00	99.73	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_10_length_196230_cov_44.382380	194966	195790	cardnewid_80	1-825/825	===============	0/0	100.00	93.82	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_122_length_452_cov_43.893333	1	452	cardnewid_1238	2287-2738/3594	.........===...	0/0	12.58	98.45	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_12_length_156857_cov_39.896447	24733	24815	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_12_length_156857_cov_39.896447	56110	59223	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.55	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_134_length_402_cov_43.338462	199	402	cardnewid_1238	3391-3594/3594	..............=	0/0	5.68	98.04	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_150_length_318_cov_49.012448	1	318	cardnewid_1238	3109-3426/3594	............===	0/0	8.85	97.80	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_16_length_112805_cov_39.048107	44163	45371	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.01	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_16_length_112805_cov_39.048107	54002	55228	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.37	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_17_length_111856_cov_45.771317	63232	64599	cardnewid_137	1-1368/1374	===============	0/0	99.56	98.61	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_19_length_104853_cov_38.789694	1744	2157	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_1_length_367442_cov_44.396921	128346	129833	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.32	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_1_length_367442_cov_44.396921	150277	151096	cardnewid_1713	1-820/822	===============	0/0	99.76	98.17	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_1_length_367442_cov_44.396921	356909	357571	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_1_length_367442_cov_44.396921	357970	359127	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.70	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_1_length_367442_cov_44.396921	359139	362243	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.55	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_21_length_76292_cov_39.929489	1284	2450	cardnewid_912	1-1167/1167	===============	0/0	100.00	96.57	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_21_length_76292_cov_39.929489	54786	56033	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.75	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_21_length_76292_cov_39.929489	56033	59155	cardnewid_772	1-3123/3123	===============	0/0	100.00	95.90	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_21_length_76292_cov_39.929489	59156	62233	cardnewid_1236	1-3078/3078	===============	0/0	100.00	93.96	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_21_length_76292_cov_39.929489	63646	65049	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.60	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_21_length_76292_cov_39.929489	65046	65767	cardnewid_1255	1-722/723	===============	0/0	99.86	96.68	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_27_length_51793_cov_43.010403	48302	48832	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_27_length_51793_cov_43.010403	48959	50131	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.12	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_27_length_51793_cov_43.010403	50148	51686	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.12	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_2_length_360697_cov_40.964453	40922	41594	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_2_length_360697_cov_40.964453	255661	256854	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_2_length_360697_cov_40.964453	256877	260026	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.79	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_2_length_360697_cov_40.964453	348786	349943	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.24	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_34_length_32991_cov_43.578872	1	1308	cardnewid_1238	2287-3594/3594	.........======	0/0	36.39	97.94	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_38_length_29865_cov_43.676447	21789	22141	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.84	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_4_length_310825_cov_38.054414	244437	244795	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.11	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_4_length_310825_cov_38.054414	244787	245111	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_4_length_310825_cov_38.054414	282665	283048	cardnewid_1808	1-384/384	===============	0/0	100.00	98.44	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_5_length_288155_cov_39.838110	125318	126961	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.93	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
6294f52e-f628-4708-b129-f3b248d61a01_1_contigs.fa	NODE_5_length_288155_cov_39.838110	185189	186157	cardnewid_1968	1-969/969	===============	0/0	100.00	97.73	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
