#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_10_length_202976_cov_44.113293	15102	15734	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_10_length_202976_cov_44.113293	195571	196728	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.62	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_10_length_202976_cov_44.113293	196753	199866	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.33	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_10_length_202976_cov_44.113293	200229	200957	cardnewid_2042	1-729/729	===============	0/0	100.00	99.86	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_10_length_202976_cov_44.113293	201326	202150	cardnewid_80	1-825/825	===============	0/0	100.00	93.82	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_11_length_169184_cov_43.023943	68047	69240	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_11_length_169184_cov_43.023943	69263	72412	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.63	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_11_length_169184_cov_43.023943	157273	158430	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.41	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_12_length_152124_cov_42.179083	40760	41432	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_13_length_142797_cov_43.037549	127355	130468	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.04	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_14_length_137083_cov_44.090916	48774	49304	cardnewid_1248	1-531/531	===============	0/0	100.00	98.68	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_14_length_137083_cov_44.090916	49431	50603	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_14_length_137083_cov_44.090916	50620	52158	cardnewid_1738	1-1539/1539	===============	0/0	100.00	96.95	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_15_length_129928_cov_45.892769	119395	120057	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_15_length_129928_cov_45.892769	120456	121613	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_15_length_129928_cov_45.892769	121625	124729	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.46	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_17_length_107783_cov_41.296511	79162	80370	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.26	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_17_length_107783_cov_41.296511	88999	90225	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.21	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
7fa8e955-8329-4193-9dcc-f10d8214887f_1_contigs.fa	NODE_19_length_95580_cov_45.910830	74156	75529	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
