#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_103_length_1529_cov_253.250000	522	1382	cardnewid_331	1-861/861	===============	0/0	100.00	99.88	cardformatted	000331	cardformatted~~~cardnewid_331~~~000331
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_11_length_147543_cov_50.615071	5706	6674	cardnewid_1968	1-969/969	===============	0/0	100.00	98.04	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_11_length_147543_cov_50.615071	108428	109966	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.40	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_11_length_147543_cov_50.615071	109966	111021	cardnewid_568	1-1056/1056	===============	0/0	100.00	96.97	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_11_length_147543_cov_50.615071	111545	112159	cardnewid_954	1-615/615	===============	0/0	100.00	99.19	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_11_length_147543_cov_50.615071	112164	115757	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.63	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_127_length_741_cov_203.072289	1	733	cardnewid_969	105-837/837	.==============	0/0	87.57	99.86	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_12_length_110424_cov_55.272250	103402	104559	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.53	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_12_length_110424_cov_55.272250	104584	107697	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.23	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_12_length_110424_cov_55.272250	108060	108788	cardnewid_2042	1-729/729	===============	0/0	100.00	95.75	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_12_length_110424_cov_55.272250	109157	109981	cardnewid_80	1-825/825	===============	0/0	100.00	96.85	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_13_length_105157_cov_47.392844	168	581	cardnewid_1170	1-414/414	===============	0/0	100.00	99.52	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_15_length_97579_cov_47.274312	21584	22888	cardnewid_1960	1-1305/1305	===============	0/0	100.00	96.32	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_15_length_97579_cov_47.274312	54209	57322	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.91	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_15_length_97579_cov_47.274312	78027	78503	cardnewid_1625	1-477/477	===============	0/0	100.00	97.90	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_18_length_93755_cov_52.654145	78046	78678	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_1_length_403357_cov_47.651614	371243	371601	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_1_length_403357_cov_47.651614	371593	371917	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_21_length_86614_cov_54.290824	54164	55396	cardnewid_1119	1-1233/1233	===============	0/0	100.00	100.00	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_23_length_80696_cov_50.524206	59395	59778	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_249_length_154_cov_155.311688	78	154	cardnewid_969	33-109/837	==.............	0/0	9.20	100.00	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_256_length_153_cov_70.289474	85	153	cardnewid_969	769-837/837	.............==	0/0	8.24	98.55	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_261_length_149_cov_82.361111	1	149	cardnewid_969	33-181/837	====...........	0/0	17.80	100.00	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_29_length_70514_cov_53.806763	20655	21788	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.97	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_2_length_299952_cov_50.289997	101791	102984	cardnewid_2244	1-1194/1194	===============	0/0	100.00	98.99	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_2_length_299952_cov_50.289997	103007	106156	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.98	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_2_length_299952_cov_50.289997	194652	195809	cardnewid_2001	1-1158/1158	===============	0/0	100.00	96.72	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_32_length_58922_cov_50.600884	32368	34116	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.80	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_38_length_42107_cov_57.296122	9534	10907	cardnewid_137	1-1374/1374	===============	0/0	100.00	97.82	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_41_length_36375_cov_47.974158	16695	17903	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.18	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_41_length_36375_cov_47.974158	26534	27760	cardnewid_562	1-1227/1227	===============	0/0	100.00	97.96	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_43_length_33022_cov_53.350433	10366	11532	cardnewid_912	1-1167/1167	===============	0/0	100.00	99.83	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_46_length_30798_cov_51.685948	22722	23074	cardnewid_2328	2980-3332/3489	......../...===	6/10	9.97	75.98	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_4_length_261043_cov_53.155652	27702	29189	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.52	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_4_length_261043_cov_53.155652	49912	50731	cardnewid_1713	1-820/822	===============	0/0	99.76	97.68	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_4_length_261043_cov_53.155652	250275	250937	cardnewid_486	1-663/663	===============	0/0	100.00	96.98	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_4_length_261043_cov_53.155652	251336	252493	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_4_length_261043_cov_53.155652	252505	255609	cardnewid_1346	1-3105/3105	===============	0/0	100.00	97.97	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_51_length_22837_cov_52.593190	12247	13655	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.05	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_59_length_16798_cov_132.450691	1	69	cardnewid_969	769-837/837	.............==	0/0	8.24	98.55	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_5_length_253105_cov_49.174898	42728	43975	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.36	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_5_length_253105_cov_49.174898	43975	47097	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.70	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_5_length_253105_cov_49.174898	47098	50175	cardnewid_1236	1-3078/3078	===============	0/0	100.00	96.46	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_5_length_253105_cov_49.174898	51588	52991	cardnewid_929	1-1404/1404	===============	0/0	100.00	97.65	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_5_length_253105_cov_49.174898	52988	53709	cardnewid_1255	1-722/723	===============	0/0	99.86	98.20	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_5_length_253105_cov_49.174898	196280	197923	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.26	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_6_length_191021_cov_49.290132	108076	109308	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.03	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_76_length_4547_cov_81.516779	1850	2689	cardnewid_1001	1-840/840	===============	0/0	100.00	100.00	cardformatted	001001	cardformatted~~~cardnewid_1001~~~001001
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_76_length_4547_cov_81.516779	3236	4024	cardnewid_1330	1-789/789	===============	0/0	100.00	100.00	cardformatted	001330	cardformatted~~~cardnewid_1330~~~001330
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_76_length_4547_cov_81.516779	4155	4471	cardnewid_1073	158-474/474	.....==========	0/0	66.88	100.00	cardformatted	001073	cardformatted~~~cardnewid_1073~~~001073
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_7_length_185884_cov_50.832116	126235	126910	cardnewid_2055	1-676/678	===============	0/0	99.71	95.27	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_84_length_3575_cov_144.554031	1	77	cardnewid_969	105-181/837	.===...........	0/0	9.20	100.00	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_86_length_3522_cov_126.396226	736	1941	cardnewid_452	1-1206/1206	===============	0/0	100.00	99.75	cardformatted	000452	cardformatted~~~cardnewid_452~~~000452
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_8_length_182401_cov_56.490983	90250	91716	cardnewid_37	1-1467/1467	===============	0/0	100.00	96.86	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_8_length_182401_cov_56.490983	91713	93764	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.78	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_8_length_182401_cov_56.490983	93764	94795	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.87	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_8_length_182401_cov_56.490983	117339	118982	cardnewid_609	1-1644/1644	===============	0/0	100.00	98.11	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_93_length_2043_cov_201.284334	1	109	cardnewid_969	1-109/837	==.............	0/0	13.02	100.00	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_93_length_2043_cov_201.284334	109	912	cardnewid_1722	1-804/804	===============	0/0	100.00	99.75	cardformatted	001722	cardformatted~~~cardnewid_1722~~~001722
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_93_length_2043_cov_201.284334	973	1788	cardnewid_890	1-816/816	===============	0/0	100.00	100.00	cardformatted	000890	cardformatted~~~cardnewid_890~~~000890
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_9_length_163854_cov_50.236370	26666	27196	cardnewid_1248	1-531/531	===============	0/0	100.00	99.44	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_9_length_163854_cov_50.236370	27323	28495	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
2f323715-3e85-403f-8a6e-7eddb06d7539_1_contigs.fa	NODE_9_length_163854_cov_50.236370	28512	30050	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.25	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
