#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_10_length_186741_cov_43.393252	24932	25014	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_10_length_186741_cov_43.393252	56274	59387	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.01	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_11_length_177744_cov_49.743076	28468	30111	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.85	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_11_length_177744_cov_49.743076	59326	60357	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.74	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_11_length_177744_cov_49.743076	60357	62408	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.08	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_11_length_177744_cov_49.743076	62405	63871	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.61	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_12_length_177238_cov_41.269467	75294	76526	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.59	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_13_length_157367_cov_48.232418	141304	142437	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.15	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_15_length_132489_cov_50.559307	56961	58334	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_19_length_46953_cov_37.244069	37645	38028	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_1_length_589776_cov_38.596082	74430	74754	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_1_length_589776_cov_38.596082	74746	75104	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.67	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_1_length_589776_cov_38.596082	449476	449808	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_1_length_589776_cov_38.596082	523672	525080	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_23_length_29924_cov_50.847187	21848	22200	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.28	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_2_length_510320_cov_39.115494	126593	127006	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_2_length_510320_cov_39.115494	333130	334338	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.26	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_2_length_510320_cov_39.115494	342967	344193	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.13	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_2_length_510320_cov_39.115494	468983	470731	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.06	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_3_length_470115_cov_41.200873	56358	57524	cardnewid_912	1-1167/1167	===============	0/0	100.00	99.40	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_3_length_470115_cov_41.200873	114819	116066	cardnewid_360	1-1248/1248	===============	0/0	100.00	96.23	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_3_length_470115_cov_41.200873	116066	119188	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.31	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
0dba3329-df7a-4a0d-8364-95104b640037_1_contigs.fa	NODE_3_length_470115_cov_41.200873	119189	122266	cardnewid_1236	1-3078/3078	===============	0/0	100.00	95.45	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
