#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
46aa0946-6e26-4a3a-b800-b9c61d668b44_1_contigs.fa	NODE_10_length_189431_cov_34.214466	130272	133385	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.39	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
46aa0946-6e26-4a3a-b800-b9c61d668b44_1_contigs.fa	NODE_10_length_189431_cov_34.214466	164619	164701	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
46aa0946-6e26-4a3a-b800-b9c61d668b44_1_contigs.fa	NODE_12_length_173830_cov_33.943155	40739	41411	cardnewid_2055	1-673/678	===============	0/0	99.26	95.99	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
46aa0946-6e26-4a3a-b800-b9c61d668b44_1_contigs.fa	NODE_13_length_171049_cov_34.540053	10128	11285	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.50	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
46aa0946-6e26-4a3a-b800-b9c61d668b44_1_contigs.fa	NODE_13_length_171049_cov_34.540053	96157	99306	cardnewid_1033	1-3150/3150	===============	0/0	100.00	97.78	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
46aa0946-6e26-4a3a-b800-b9c61d668b44_1_contigs.fa	NODE_13_length_171049_cov_34.540053	99329	100522	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
46aa0946-6e26-4a3a-b800-b9c61d668b44_1_contigs.fa	NODE_14_length_163497_cov_35.341451	130278	131816	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.86	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
46aa0946-6e26-4a3a-b800-b9c61d668b44_1_contigs.fa	NODE_14_length_163497_cov_35.341451	131833	133005	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.87	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
46aa0946-6e26-4a3a-b800-b9c61d668b44_1_contigs.fa	NODE_14_length_163497_cov_35.341451	133132	133662	cardnewid_1248	1-531/531	===============	0/0	100.00	98.87	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
46aa0946-6e26-4a3a-b800-b9c61d668b44_1_contigs.fa	NODE_16_length_133135_cov_38.971073	69812	71278	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.82	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
46aa0946-6e26-4a3a-b800-b9c61d668b44_1_contigs.fa	NODE_16_length_133135_cov_38.971073	71275	73326	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.56	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
46aa0946-6e26-4a3a-b800-b9c61d668b44_1_contigs.fa	NODE_16_length_133135_cov_38.971073	73326	74357	cardnewid_1350	1-1032/1032	===============	0/0	100.00	94.96	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
46aa0946-6e26-4a3a-b800-b9c61d668b44_1_contigs.fa	NODE_16_length_133135_cov_38.971073	103573	105216	cardnewid_609	1-1644/1644	===============	0/0	100.00	93.31	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
46aa0946-6e26-4a3a-b800-b9c61d668b44_1_contigs.fa	NODE_17_length_129192_cov_39.007985	74154	75527	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.18	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
46aa0946-6e26-4a3a-b800-b9c61d668b44_1_contigs.fa	NODE_19_length_119834_cov_32.135558	36863	37276	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
46aa0946-6e26-4a3a-b800-b9c61d668b44_1_contigs.fa	NODE_1_length_504948_cov_33.657687	31793	35386	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.30	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
