#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_11_length_163672_cov_29.825655	53886	55373	cardnewid_776	1-1488/1488	===============	0/0	100.00	97.92	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_11_length_163672_cov_29.825655	75701	76520	cardnewid_1713	1-820/822	===============	0/0	99.76	96.95	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_12_length_135561_cov_29.195780	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	97.52	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_12_length_135561_cov_29.195780	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.19	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_12_length_135561_cov_29.195780	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	97.59	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_14_length_118335_cov_28.799464	92931	94339	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.34	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_15_length_111736_cov_63.029062	4665	5540	cardnewid_1912	1-876/876	===============	0/0	100.00	100.00	cardformatted	001912	cardformatted~~~cardnewid_1912~~~001912
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_17_length_101202_cov_29.569068	40426	41892	cardnewid_37	1-1467/1467	===============	0/0	100.00	96.46	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_17_length_101202_cov_29.569068	41889	43940	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.59	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_17_length_101202_cov_29.569068	43940	44971	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.67	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_17_length_101202_cov_29.569068	74152	75795	cardnewid_609	1-1644/1644	===============	0/0	100.00	98.24	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_1_length_515545_cov_28.780778	107411	108643	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.84	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_1_length_515545_cov_28.780778	227109	228857	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.86	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_1_length_515545_cov_28.780778	361645	362871	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.29	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_1_length_515545_cov_28.780778	371502	372710	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.01	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_21_length_94847_cov_30.118909	25196	26569	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.91	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_25_length_55651_cov_30.197862	53669	54082	cardnewid_1170	1-414/414	===============	0/0	100.00	99.52	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_26_length_49014_cov_28.379120	14928	16061	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.06	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_27_length_47318_cov_32.052687	27929	28312	cardnewid_1808	1-384/384	===============	0/0	100.00	100.00	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_2_length_388574_cov_27.796768	21500	22666	cardnewid_912	1-1167/1167	===============	0/0	100.00	97.34	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_2_length_388574_cov_27.796768	76425	77672	cardnewid_360	1-1248/1248	===============	0/0	100.00	96.55	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_2_length_388574_cov_27.796768	77672	80794	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.93	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_2_length_388574_cov_27.796768	80795	83872	cardnewid_1236	1-3078/3078	===============	0/0	100.00	96.69	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_2_length_388574_cov_27.796768	85285	86688	cardnewid_929	1-1404/1404	===============	0/0	100.00	92.17	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_2_length_388574_cov_27.796768	86685	87406	cardnewid_1255	1-722/723	===============	0/0	99.86	96.95	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_2_length_388574_cov_27.796768	226326	227969	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.75	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_2_length_388574_cov_27.796768	288147	289115	cardnewid_1968	1-969/969	===============	0/0	100.00	97.94	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_31_length_40976_cov_32.489450	31787	35380	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.61	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_31_length_40976_cov_32.489450	35385	35999	cardnewid_954	1-615/615	===============	0/0	100.00	99.35	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_31_length_40976_cov_32.489450	36522	37577	cardnewid_568	1-1056/1056	===============	0/0	100.00	96.88	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
7a608ce5-5f8f-4afc-92cf-6d3d4de78d55_1_contigs.fa	NODE_31_length_40976_cov_32.489450	37577	39115	cardnewid_501	1-1539/1539	===============	0/0	100.00	98.05	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
