#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
6a56c663-642c-4cbb-b1e6-14879b47fd82_1_contigs.fa	NODE_10_length_155129_cov_59.269806	128976	130184	cardnewid_349	1-1209/1209	===============	0/0	100.00	100.00	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
6a56c663-642c-4cbb-b1e6-14879b47fd82_1_contigs.fa	NODE_10_length_155129_cov_59.269806	138813	140039	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.43	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
6a56c663-642c-4cbb-b1e6-14879b47fd82_1_contigs.fa	NODE_11_length_147593_cov_63.078222	15003	15635	cardnewid_816	1-633/633	===============	0/0	100.00	99.84	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
6a56c663-642c-4cbb-b1e6-14879b47fd82_1_contigs.fa	NODE_133_length_263_cov_214.424731	169	263	cardnewid_11	1-95/861	==.............	0/0	11.03	100.00	cardformatted	000011	cardformatted~~~cardnewid_11~~~000011
6a56c663-642c-4cbb-b1e6-14879b47fd82_1_contigs.fa	NODE_13_length_125240_cov_67.225059	61173	62546	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.98	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
6a56c663-642c-4cbb-b1e6-14879b47fd82_1_contigs.fa	NODE_14_length_119405_cov_59.328984	106248	106391	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
6a56c663-642c-4cbb-b1e6-14879b47fd82_1_contigs.fa	NODE_14_length_119405_cov_59.328984	110583	111260	cardnewid_2055	1-678/678	===============	0/0	100.00	100.00	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
6a56c663-642c-4cbb-b1e6-14879b47fd82_1_contigs.fa	NODE_15_length_114883_cov_61.536409	47660	48190	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
6a56c663-642c-4cbb-b1e6-14879b47fd82_1_contigs.fa	NODE_15_length_114883_cov_61.536409	48317	49489	cardnewid_1650	1-1173/1173	===============	0/0	100.00	100.00	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
6a56c663-642c-4cbb-b1e6-14879b47fd82_1_contigs.fa	NODE_15_length_114883_cov_61.536409	49506	51044	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.94	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
