#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_10_length_178850_cov_38.332483	137440	138112	cardnewid_2055	1-673/678	===============	0/0	99.26	95.99	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_11_length_177273_cov_41.962347	29348	30991	cardnewid_609	1-1644/1644	===============	0/0	100.00	93.31	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_11_length_177273_cov_41.962347	60207	61238	cardnewid_1350	1-1032/1032	===============	0/0	100.00	94.96	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_11_length_177273_cov_41.962347	61238	63289	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.56	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_11_length_177273_cov_41.962347	63286	64752	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.82	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_12_length_171379_cov_39.313873	10128	11285	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.50	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_12_length_171379_cov_39.313873	96155	99304	cardnewid_1033	1-3150/3150	===============	0/0	100.00	97.78	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_12_length_171379_cov_39.313873	99327	100520	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_14_length_129192_cov_41.539720	74154	75527	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.18	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_15_length_124470_cov_34.466361	41716	42129	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_1_length_699994_cov_37.872016	130078	133191	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.39	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_1_length_699994_cov_37.872016	164425	164507	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_1_length_699994_cov_37.872016	220940	224533	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.30	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_1_length_699994_cov_37.872016	224538	225152	cardnewid_954	1-615/615	===============	0/0	100.00	99.19	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_1_length_699994_cov_37.872016	225676	226731	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.54	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_1_length_699994_cov_37.872016	226731	228269	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.73	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_1_length_699994_cov_37.872016	366839	367807	cardnewid_1968	1-969/969	===============	0/0	100.00	97.42	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_1_length_699994_cov_37.872016	425968	427611	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.20	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_1_length_699994_cov_37.872016	579466	580187	cardnewid_1255	1-722/723	===============	0/0	99.86	97.23	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_1_length_699994_cov_37.872016	580184	581587	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.53	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_1_length_699994_cov_37.872016	583000	586077	cardnewid_1236	1-3078/3078	===============	0/0	100.00	94.22	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_1_length_699994_cov_37.872016	586078	589200	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.64	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_1_length_699994_cov_37.872016	589200	590447	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.19	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_1_length_699994_cov_37.872016	642936	644102	cardnewid_912	1-1167/1167	===============	0/0	100.00	98.11	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_25_length_29943_cov_45.882810	7851	8203	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.84	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_29_length_15906_cov_34.305073	9054	9386	cardnewid_2240	1-333/333	===============	0/0	100.00	99.70	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_2_length_557860_cov_34.752000	37140	37523	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_2_length_557860_cov_34.752000	74102	74426	cardnewid_2598	6-330/330	===============	0/0	98.48	75.08	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_2_length_557860_cov_34.752000	74418	74776	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_2_length_557860_cov_34.752000	398875	399207	cardnewid_2240	1-333/333	===============	0/0	100.00	91.89	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_2_length_557860_cov_34.752000	495573	496981	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.19	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_3_length_411615_cov_39.856674	92081	92611	cardnewid_1248	1-531/531	===============	0/0	100.00	98.87	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_3_length_411615_cov_39.856674	92738	93910	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.87	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_3_length_411615_cov_39.856674	93927	95465	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.86	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_4_length_400970_cov_37.763820	74562	75770	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.26	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_4_length_400970_cov_37.763820	84401	85627	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.37	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_4_length_400970_cov_37.763820	210302	212050	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.06	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_4_length_400970_cov_37.763820	299763	300995	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.35	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_5_length_359944_cov_40.827147	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.49	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_5_length_359944_cov_40.827147	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.70	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_5_length_359944_cov_40.827147	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_5_length_359944_cov_40.827147	209366	210185	cardnewid_1713	1-820/822	===============	0/0	99.76	98.17	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_5_length_359944_cov_40.827147	235970	237457	cardnewid_776	1-1488/1488	===============	0/0	100.00	97.72	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_6_length_296016_cov_40.658332	282839	284050	cardnewid_1119	22-1233/1233	===============	0/0	98.30	95.54	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_8_length_203839_cov_40.812438	441	1265	cardnewid_80	1-825/825	===============	0/0	100.00	93.82	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_8_length_203839_cov_40.812438	1634	2362	cardnewid_2042	1-729/729	===============	0/0	100.00	99.86	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_8_length_203839_cov_40.812438	2725	5838	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.37	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_8_length_203839_cov_40.812438	5863	7020	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.62	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_8_length_203839_cov_40.812438	188206	188838	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
edea003c-32bf-4595-908b-441e75adb914_1_contigs.fa	NODE_9_length_181105_cov_40.307599	14931	16064	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.62	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
