#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_11_length_147543_cov_46.662505	31787	35380	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.63	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_11_length_147543_cov_46.662505	35385	35999	cardnewid_954	1-615/615	===============	0/0	100.00	99.19	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_11_length_147543_cov_46.662505	36523	37578	cardnewid_568	1-1056/1056	===============	0/0	100.00	96.97	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_11_length_147543_cov_46.662505	37578	39116	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.40	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_11_length_147543_cov_46.662505	140870	141838	cardnewid_1968	1-969/969	===============	0/0	100.00	98.04	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_12_length_144143_cov_56.459234	128434	129066	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_13_length_137226_cov_43.491101	28813	30021	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.18	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_13_length_137226_cov_43.491101	38652	39878	cardnewid_562	1-1227/1227	===============	0/0	100.00	97.96	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_15_length_96435_cov_44.037101	21584	22888	cardnewid_1960	1-1305/1305	===============	0/0	100.00	96.32	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_15_length_96435_cov_44.037101	54309	57422	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.91	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_15_length_96435_cov_44.037101	78127	78603	cardnewid_1625	1-477/477	===============	0/0	100.00	97.90	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_17_length_90227_cov_47.063849	60261	61799	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.25	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_17_length_90227_cov_47.063849	61816	62988	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_17_length_90227_cov_47.063849	63115	63645	cardnewid_1248	1-531/531	===============	0/0	100.00	99.44	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_19_length_86227_cov_59.693070	19442	20815	cardnewid_137	1-1374/1374	===============	0/0	100.00	97.82	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_1_length_394247_cov_41.817444	337517	337875	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_1_length_394247_cov_41.817444	337867	338191	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_20_length_78395_cov_54.184785	444	1268	cardnewid_80	1-825/825	===============	0/0	100.00	96.85	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_20_length_78395_cov_54.184785	1637	2365	cardnewid_2042	1-729/729	===============	0/0	100.00	95.75	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_20_length_78395_cov_54.184785	2728	5841	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.23	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_20_length_78395_cov_54.184785	5866	7023	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.53	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_24_length_67385_cov_34.279358	6285	7693	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.05	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_25_length_67158_cov_41.508982	19704	20087	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_33_length_38429_cov_57.443445	31215	32447	cardnewid_1119	1-1233/1233	===============	0/0	100.00	100.00	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_3_length_310160_cov_43.608034	46842	48008	cardnewid_912	1-1167/1167	===============	0/0	100.00	95.97	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_3_length_310160_cov_43.608034	99783	101030	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.36	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_3_length_310160_cov_43.608034	101030	104152	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.70	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_3_length_310160_cov_43.608034	104153	107230	cardnewid_1236	1-3078/3078	===============	0/0	100.00	96.49	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_3_length_310160_cov_43.608034	108643	110046	cardnewid_929	1-1404/1404	===============	0/0	100.00	97.65	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_3_length_310160_cov_43.608034	110043	110764	cardnewid_1255	1-722/723	===============	0/0	99.86	98.20	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_3_length_310160_cov_43.608034	253335	254978	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.26	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_45_length_30798_cov_58.816282	7725	8077	cardnewid_2328	2980-3332/3489	......../...===	6/10	9.97	75.98	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_4_length_284026_cov_56.935027	48942	50429	cardnewid_776	1-1488/1488	===============	0/0	100.00	100.00	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_4_length_284026_cov_56.935027	72720	73539	cardnewid_1713	1-820/822	===============	0/0	99.76	97.68	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_4_length_284026_cov_56.935027	273077	273739	cardnewid_486	1-663/663	===============	0/0	100.00	96.98	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_4_length_284026_cov_56.935027	274138	275295	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_4_length_284026_cov_56.935027	275307	278411	cardnewid_1346	1-3105/3105	===============	0/0	100.00	97.97	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_5_length_247591_cov_45.932194	116055	117248	cardnewid_2244	1-1194/1194	===============	0/0	100.00	98.99	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_5_length_247591_cov_45.932194	117271	120420	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.98	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_5_length_247591_cov_45.932194	208916	210073	cardnewid_2001	1-1158/1158	===============	0/0	100.00	96.72	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_69_length_6594_cov_52.716587	1740	1954	cardnewid_1952	1-215/786	=====..........	0/0	27.35	99.53	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_69_length_6594_cov_52.716587	1968	2441	cardnewid_1073	1-474/474	===============	0/0	100.00	100.00	cardformatted	001073	cardformatted~~~cardnewid_1073~~~001073
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_69_length_6594_cov_52.716587	2572	3360	cardnewid_1330	1-789/789	===============	0/0	100.00	100.00	cardformatted	001330	cardformatted~~~cardnewid_1330~~~001330
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_69_length_6594_cov_52.716587	3907	4746	cardnewid_1001	1-840/840	===============	0/0	100.00	100.00	cardformatted	001001	cardformatted~~~cardnewid_1001~~~001001
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_6_length_222482_cov_45.142232	108128	109360	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.03	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_6_length_222482_cov_45.142232	195928	197676	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.80	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_73_length_5735_cov_98.360905	2072	3277	cardnewid_452	1-1206/1206	===============	0/0	100.00	99.75	cardformatted	000452	cardformatted~~~cardnewid_452~~~000452
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_7_length_210722_cov_56.187951	90433	91899	cardnewid_37	1-1467/1467	===============	0/0	100.00	96.86	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_7_length_210722_cov_56.187951	91896	93947	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.78	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_7_length_210722_cov_56.187951	93947	94978	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.87	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_7_length_210722_cov_56.187951	117541	119184	cardnewid_609	1-1644/1644	===============	0/0	100.00	98.11	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_7_length_210722_cov_56.187951	161094	162227	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.97	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_82_length_3702_cov_32.071724	2652	3557	cardnewid_1165	1-906/906	===============	0/0	100.00	100.00	cardformatted	001165	cardformatted~~~cardnewid_1165~~~001165
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_88_length_2149_cov_43.501448	1572	1985	cardnewid_1170	1-414/414	===============	0/0	100.00	99.52	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_91_length_2068_cov_93.760924	612	1472	cardnewid_45	1-861/861	===============	0/0	100.00	99.88	cardformatted	000045	cardformatted~~~cardnewid_45~~~000045
1b55ac76-f4fa-4612-b00d-c91d9427faf0_1_contigs.fa	NODE_9_length_186347_cov_46.790718	58975	59650	cardnewid_2055	1-676/678	===============	0/0	99.71	95.27	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
