#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
a49fc1b9-58aa-4c6a-b48a-ccf6daede7ef_1_contigs.fa	NODE_27_length_62269_cov_39.613986	44964	45319	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.07	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
a49fc1b9-58aa-4c6a-b48a-ccf6daede7ef_1_contigs.fa	NODE_33_length_43418_cov_33.531183	26206	27438	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	98.46	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
a49fc1b9-58aa-4c6a-b48a-ccf6daede7ef_1_contigs.fa	NODE_49_length_22648_cov_66.387311	261	743	resfindernewid_2984	1-483/483	===============	0/0	100.00	99.59	resfinderformatted	002984	resfinderformatted~~~resfindernewid_2984~~~002984
a49fc1b9-58aa-4c6a-b48a-ccf6daede7ef_1_contigs.fa	NODE_49_length_22648_cov_66.387311	750	917	resfindernewid_159	1-175/972	===...../......	3/7	17.28	96.00	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
a49fc1b9-58aa-4c6a-b48a-ccf6daede7ef_1_contigs.fa	NODE_60_length_9095_cov_64.601796	1006	2252	resfindernewid_2879	1-1247/1275	===============	0/0	97.80	100.00	resfinderformatted	002879	resfinderformatted~~~resfindernewid_2879~~~002879
a49fc1b9-58aa-4c6a-b48a-ccf6daede7ef_1_contigs.fa	NODE_63_length_7964_cov_51.968175	3614	4429	resfindernewid_2805	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002805	resfinderformatted~~~resfindernewid_2805~~~002805
a49fc1b9-58aa-4c6a-b48a-ccf6daede7ef_1_contigs.fa	NODE_63_length_7964_cov_51.968175	4490	5293	resfindernewid_239	1-804/804	===============	0/0	100.00	100.00	resfinderformatted	000239	resfinderformatted~~~resfindernewid_239~~~000239
a49fc1b9-58aa-4c6a-b48a-ccf6daede7ef_1_contigs.fa	NODE_63_length_7964_cov_51.968175	5293	6129	resfindernewid_41	1-837/837	===============	0/0	100.00	100.00	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
a49fc1b9-58aa-4c6a-b48a-ccf6daede7ef_1_contigs.fa	NODE_63_length_7964_cov_51.968175	6850	7710	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
