#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
36a7aef5-55ea-44dd-9a58-f6c27653ade0_1_contigs.fa	NODE_10_length_196714_cov_31.402045	15079	15711	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
36a7aef5-55ea-44dd-9a58-f6c27653ade0_1_contigs.fa	NODE_10_length_196714_cov_31.402045	189638	190795	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.96	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
36a7aef5-55ea-44dd-9a58-f6c27653ade0_1_contigs.fa	NODE_10_length_196714_cov_31.402045	190820	193933	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.39	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
36a7aef5-55ea-44dd-9a58-f6c27653ade0_1_contigs.fa	NODE_10_length_196714_cov_31.402045	194296	195024	cardnewid_2042	1-729/729	===============	0/0	100.00	95.88	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
36a7aef5-55ea-44dd-9a58-f6c27653ade0_1_contigs.fa	NODE_10_length_196714_cov_31.402045	195393	196217	cardnewid_80	1-825/825	===============	0/0	100.00	93.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
36a7aef5-55ea-44dd-9a58-f6c27653ade0_1_contigs.fa	NODE_12_length_133058_cov_33.902821	68279	69652	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.91	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
36a7aef5-55ea-44dd-9a58-f6c27653ade0_1_contigs.fa	NODE_13_length_104792_cov_26.580280	23990	25398	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.34	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
36a7aef5-55ea-44dd-9a58-f6c27653ade0_1_contigs.fa	NODE_1_length_674001_cov_31.738238	292726	293958	cardnewid_1119	1-1233/1233	===============	0/0	100.00	97.73	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
36a7aef5-55ea-44dd-9a58-f6c27653ade0_1_contigs.fa	NODE_1_length_674001_cov_31.738238	497463	498596	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.06	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
36a7aef5-55ea-44dd-9a58-f6c27653ade0_1_contigs.fa	NODE_1_length_674001_cov_31.738238	538871	540514	cardnewid_609	1-1644/1644	===============	0/0	100.00	98.24	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
