#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
f2d5a22d-2beb-4e7e-9d4c-d4563011c28e_1_contigs.fa	NODE_11_length_147585_cov_36.950762	131951	132583	cardnewid_816	1-633/633	===============	0/0	100.00	99.84	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
f2d5a22d-2beb-4e7e-9d4c-d4563011c28e_1_contigs.fa	NODE_14_length_131196_cov_37.442041	377	1534	cardnewid_2001	1-1158/1158	===============	0/0	100.00	99.91	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
f2d5a22d-2beb-4e7e-9d4c-d4563011c28e_1_contigs.fa	NODE_14_length_131196_cov_37.442041	86501	89650	cardnewid_1033	1-3150/3150	===============	0/0	100.00	100.00	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
f2d5a22d-2beb-4e7e-9d4c-d4563011c28e_1_contigs.fa	NODE_14_length_131196_cov_37.442041	89673	90866	cardnewid_2244	1-1194/1194	===============	0/0	100.00	100.00	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
f2d5a22d-2beb-4e7e-9d4c-d4563011c28e_1_contigs.fa	NODE_15_length_122226_cov_37.671319	119944	121077	cardnewid_2338	1-1134/1134	===============	0/0	100.00	100.00	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
f2d5a22d-2beb-4e7e-9d4c-d4563011c28e_1_contigs.fa	NODE_16_length_119368_cov_37.860928	106211	106354	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
f2d5a22d-2beb-4e7e-9d4c-d4563011c28e_1_contigs.fa	NODE_16_length_119368_cov_37.860928	110546	111223	cardnewid_2055	1-678/678	===============	0/0	100.00	100.00	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
f2d5a22d-2beb-4e7e-9d4c-d4563011c28e_1_contigs.fa	NODE_17_length_111364_cov_39.193176	73496	74728	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.11	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
f2d5a22d-2beb-4e7e-9d4c-d4563011c28e_1_contigs.fa	NODE_18_length_97579_cov_39.449345	3056	3388	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
f2d5a22d-2beb-4e7e-9d4c-d4563011c28e_1_contigs.fa	NODE_18_length_97579_cov_39.449345	75661	77069	cardnewid_1645	1-1409/1425	========/======	3/4	98.74	75.12	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
