#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_12_length_137618_cov_60.617569	46225	46583	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_12_length_137618_cov_60.617569	46575	46899	cardnewid_2598	6-330/330	===============	0/0	98.48	75.08	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_12_length_137618_cov_60.617569	85575	85958	cardnewid_1808	1-384/384	===============	0/0	100.00	99.48	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_13_length_136591_cov_61.049284	126600	128008	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.34	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_15_length_134273_cov_63.518697	125657	126329	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_16_length_128570_cov_63.067646	18294	19520	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.19	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_16_length_128570_cov_63.067646	28151	29359	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.43	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_17_length_112213_cov_61.382277	37980	38393	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_18_length_111451_cov_68.399213	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.03	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_18_length_111451_cov_68.399213	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_18_length_111451_cov_68.399213	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_1_length_318134_cov_63.120076	19174	20421	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.88	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_1_length_318134_cov_63.120076	20421	23543	cardnewid_772	1-3123/3123	===============	0/0	100.00	99.17	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_1_length_318134_cov_63.120076	23544	26621	cardnewid_1236	1-3078/3078	===============	0/0	100.00	99.84	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_1_length_318134_cov_63.120076	28034	29437	cardnewid_929	1-1404/1404	===============	0/0	100.00	100.00	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_1_length_318134_cov_63.120076	29434	30156	cardnewid_1255	1-723/723	===============	0/0	100.00	100.00	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_1_length_318134_cov_63.120076	168125	169768	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.48	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_1_length_318134_cov_63.120076	216808	217776	cardnewid_1968	1-969/969	===============	0/0	100.00	99.28	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_21_length_104088_cov_68.376595	98302	99435	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.71	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_22_length_93076_cov_63.474381	16137	17885	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.26	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_23_length_86239_cov_74.543581	59504	60877	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.76	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_30_length_47270_cov_64.840209	31948	35541	cardnewid_1238	1-3594/3594	===============	0/0	100.00	98.91	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_30_length_47270_cov_64.840209	35546	36160	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_30_length_47270_cov_64.840209	36684	37739	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.62	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_30_length_47270_cov_64.840209	37739	39277	cardnewid_501	1-1539/1539	===============	0/0	100.00	98.83	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_31_length_46975_cov_64.581134	30882	32039	cardnewid_2001	1-1158/1158	===============	0/0	100.00	98.70	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_37_length_36018_cov_62.633260	26206	27438	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.92	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_3_length_196832_cov_65.106727	25912	27216	cardnewid_1960	1-1305/1305	===============	0/0	100.00	98.16	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_3_length_196832_cov_65.106727	58334	61447	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.88	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_3_length_196832_cov_65.106727	82682	83158	cardnewid_1625	1-477/477	===============	0/0	100.00	98.11	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_43_length_27309_cov_70.607043	19112	19464	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.56	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_4_length_193353_cov_67.723380	454	1278	cardnewid_80	1-825/825	===============	0/0	100.00	97.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_4_length_193353_cov_67.723380	1646	2374	cardnewid_2042	1-729/729	===============	0/0	100.00	94.24	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_4_length_193353_cov_67.723380	2737	5850	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.55	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_4_length_193353_cov_67.723380	5875	7032	cardnewid_1790	1-1158/1158	===============	0/0	100.00	99.57	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_4_length_193353_cov_67.723380	177644	178276	cardnewid_816	1-633/633	===============	0/0	100.00	99.53	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_5_length_193237_cov_65.507900	116491	117684	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.83	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_5_length_193237_cov_65.507900	117707	120856	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.11	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_6_length_169692_cov_66.743289	100489	101308	cardnewid_1713	1-820/822	===============	0/0	99.76	98.54	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_6_length_169692_cov_66.743289	123667	125154	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.45	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_72_length_6651_cov_92.500892	4159	5364	cardnewid_452	1-1206/1206	===============	0/0	100.00	99.75	cardformatted	000452	cardformatted~~~cardnewid_452~~~000452
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_75_length_5229_cov_159.139946	223	1083	cardnewid_690	1-861/861	===============	0/0	100.00	100.00	cardformatted	000690	cardformatted~~~cardnewid_690~~~000690
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_7_length_160524_cov_65.354341	127233	128771	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.87	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_7_length_160524_cov_65.354341	128788	129960	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.29	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_7_length_160524_cov_65.354341	130087	130617	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_83_length_3779_cov_248.053485	107	943	cardnewid_969	1-837/837	===============	0/0	100.00	99.88	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_83_length_3779_cov_248.053485	943	1746	cardnewid_1722	1-804/804	===============	0/0	100.00	99.88	cardformatted	001722	cardformatted~~~cardnewid_1722~~~001722
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_8_length_160501_cov_68.099623	93866	95098	cardnewid_1119	1-1233/1233	===============	0/0	100.00	100.00	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_9_length_154598_cov_67.473334	87990	89456	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.23	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_9_length_154598_cov_67.473334	89453	91504	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.68	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_9_length_154598_cov_67.473334	91504	92535	cardnewid_1350	1-1032/1032	===============	0/0	100.00	98.16	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
4c1b4040-2b71-43ac-8d00-9f25c0b886ec_1_contigs.fa	NODE_9_length_154598_cov_67.473334	115255	116898	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.39	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
