#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_11_length_123830_cov_65.768078	113297	113959	cardnewid_486	1-663/663	===============	0/0	100.00	99.10	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_11_length_123830_cov_65.768078	114358	115515	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.88	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_11_length_123830_cov_65.768078	115527	118631	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.00	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_13_length_101532_cov_59.807747	73785	74993	cardnewid_349	1-1209/1209	===============	0/0	100.00	97.93	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_13_length_101532_cov_59.807747	83624	84850	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.35	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_15_length_99047_cov_63.411013	10095	11582	cardnewid_776	1-1488/1488	===============	0/0	100.00	99.73	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_16_length_91231_cov_64.498969	77969	78790	cardnewid_1713	1-822/822	===============	0/0	100.00	100.00	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_18_length_89628_cov_63.717189	22782	23312	cardnewid_1248	1-531/531	===============	0/0	100.00	99.81	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_18_length_89628_cov_63.717189	23439	24611	cardnewid_1650	1-1173/1173	===============	0/0	100.00	99.83	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_18_length_89628_cov_63.717189	24628	26166	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.94	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_19_length_88921_cov_66.668644	75609	76982	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.84	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_1_length_327942_cov_61.480271	125192	126940	cardnewid_2113	1-1749/1749	===============	0/0	100.00	100.00	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_1_length_327942_cov_61.480271	224864	226096	cardnewid_2329	1-1233/1233	===============	0/0	100.00	98.38	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_27_length_61212_cov_94.524953	31782	32642	cardnewid_45	1-861/861	===============	0/0	100.00	99.88	cardformatted	000045	cardformatted~~~cardnewid_45~~~000045
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_27_length_61212_cov_94.524953	33733	34242	cardnewid_374	1-510/510	===============	0/0	100.00	100.00	cardformatted	000374	cardformatted~~~cardnewid_374~~~000374
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_27_length_61212_cov_94.524953	40185	41431	cardnewid_1828	1-1247/1275	===============	0/0	97.80	100.00	cardformatted	001828	cardformatted~~~cardnewid_1828~~~001828
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_28_length_60982_cov_62.528774	55689	56366	cardnewid_2055	1-678/678	===============	0/0	100.00	99.85	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_28_length_60982_cov_62.528774	60558	60701	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_29_length_59799_cov_60.470614	9375	10783	cardnewid_1645	1-1409/1425	========/======	3/4	98.74	75.19	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_2_length_324576_cov_57.575352	206358	206716	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_2_length_324576_cov_57.575352	206708	207032	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_2_length_324576_cov_57.575352	272458	272841	cardnewid_1808	1-384/384	===============	0/0	100.00	100.00	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_30_length_57536_cov_63.107416	245	3358	cardnewid_1337	1-3114/3114	===============	0/0	100.00	99.78	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_30_length_57536_cov_63.107416	34756	34836	cardnewid_1960	1-81/1305	=..............	0/0	6.21	98.77	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_37_length_42347_cov_63.200426	520	1344	cardnewid_80	1-825/825	===============	0/0	100.00	100.00	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_37_length_42347_cov_63.200426	1712	2440	cardnewid_2042	1-729/729	===============	0/0	100.00	94.65	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_37_length_42347_cov_63.200426	2803	5916	cardnewid_107	1-3114/3114	===============	0/0	100.00	99.94	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_37_length_42347_cov_63.200426	5941	7098	cardnewid_1790	1-1158/1158	===============	0/0	100.00	100.00	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_3_length_255591_cov_65.288595	118850	119983	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.35	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_3_length_255591_cov_65.288595	162196	163839	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.45	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_3_length_255591_cov_65.288595	193668	194699	cardnewid_1350	1-1032/1032	===============	0/0	100.00	100.00	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_3_length_255591_cov_65.288595	194699	196750	cardnewid_1932	1-2052/2052	===============	0/0	100.00	99.66	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_3_length_255591_cov_65.288595	196747	198213	cardnewid_37	1-1467/1467	===============	0/0	100.00	99.93	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_41_length_38490_cov_62.392940	20592	21068	cardnewid_1625	1-477/477	===============	0/0	100.00	98.32	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
826ac044-dbf5-4226-b4b9-c3cfe3a9262d_1_contigs.fa	NODE_42_length_36256_cov_56.610686	23269	24435	cardnewid_912	1-1167/1167	===============	0/0	100.00	97.60	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
