#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
fb8e90a1-b3b7-449d-9d36-fb6174cd8002_1_contigs.fa	NODE_10_length_196253_cov_29.689080	441	1265	cardnewid_80	1-825/825	===============	0/0	100.00	93.82	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
fb8e90a1-b3b7-449d-9d36-fb6174cd8002_1_contigs.fa	NODE_10_length_196253_cov_29.689080	1634	2362	cardnewid_2042	1-729/729	===============	0/0	100.00	99.73	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
fb8e90a1-b3b7-449d-9d36-fb6174cd8002_1_contigs.fa	NODE_10_length_196253_cov_29.689080	2725	5838	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.30	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
fb8e90a1-b3b7-449d-9d36-fb6174cd8002_1_contigs.fa	NODE_10_length_196253_cov_29.689080	5863	7020	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.45	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
fb8e90a1-b3b7-449d-9d36-fb6174cd8002_1_contigs.fa	NODE_10_length_196253_cov_29.689080	180620	181252	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
fb8e90a1-b3b7-449d-9d36-fb6174cd8002_1_contigs.fa	NODE_11_length_185211_cov_24.867923	143699	144371	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
fb8e90a1-b3b7-449d-9d36-fb6174cd8002_1_contigs.fa	NODE_13_length_144611_cov_29.588291	14931	16064	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.97	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
fb8e90a1-b3b7-449d-9d36-fb6174cd8002_1_contigs.fa	NODE_14_length_136778_cov_30.006167	126245	126907	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
fb8e90a1-b3b7-449d-9d36-fb6174cd8002_1_contigs.fa	NODE_14_length_136778_cov_30.006167	127306	128463	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.70	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
fb8e90a1-b3b7-449d-9d36-fb6174cd8002_1_contigs.fa	NODE_14_length_136778_cov_30.006167	128475	131579	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.55	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
