#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
d60d52fd-1c93-416f-97d1-04de2216d2bc_1_contigs.fa	NODE_10_length_203568_cov_63.756191	128351	129889	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.60	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
d60d52fd-1c93-416f-97d1-04de2216d2bc_1_contigs.fa	NODE_10_length_203568_cov_63.756191	129906	131078	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
d60d52fd-1c93-416f-97d1-04de2216d2bc_1_contigs.fa	NODE_10_length_203568_cov_63.756191	131205	131735	cardnewid_1248	1-531/531	===============	0/0	100.00	98.31	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
d60d52fd-1c93-416f-97d1-04de2216d2bc_1_contigs.fa	NODE_11_length_201656_cov_64.973846	5435	8539	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.59	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
d60d52fd-1c93-416f-97d1-04de2216d2bc_1_contigs.fa	NODE_11_length_201656_cov_64.973846	8551	9708	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.27	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
d60d52fd-1c93-416f-97d1-04de2216d2bc_1_contigs.fa	NODE_11_length_201656_cov_64.973846	10107	10769	cardnewid_486	1-663/663	===============	0/0	100.00	97.74	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
d60d52fd-1c93-416f-97d1-04de2216d2bc_1_contigs.fa	NODE_12_length_196980_cov_66.568392	863	1687	cardnewid_80	1-825/825	===============	0/0	100.00	93.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
d60d52fd-1c93-416f-97d1-04de2216d2bc_1_contigs.fa	NODE_12_length_196980_cov_66.568392	2056	2784	cardnewid_2042	1-729/729	===============	0/0	100.00	99.59	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
d60d52fd-1c93-416f-97d1-04de2216d2bc_1_contigs.fa	NODE_12_length_196980_cov_66.568392	3147	6260	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.33	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
d60d52fd-1c93-416f-97d1-04de2216d2bc_1_contigs.fa	NODE_12_length_196980_cov_66.568392	6285	7442	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.53	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
d60d52fd-1c93-416f-97d1-04de2216d2bc_1_contigs.fa	NODE_12_length_196980_cov_66.568392	181180	181812	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
d60d52fd-1c93-416f-97d1-04de2216d2bc_1_contigs.fa	NODE_13_length_193451_cov_59.310393	93018	94211	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
d60d52fd-1c93-416f-97d1-04de2216d2bc_1_contigs.fa	NODE_13_length_193451_cov_59.310393	94234	97383	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.73	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
d60d52fd-1c93-416f-97d1-04de2216d2bc_1_contigs.fa	NODE_13_length_193451_cov_59.310393	182116	183273	cardnewid_2001	1-1158/1158	===============	0/0	100.00	98.70	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
d60d52fd-1c93-416f-97d1-04de2216d2bc_1_contigs.fa	NODE_15_length_151390_cov_58.092404	109950	110622	cardnewid_2055	1-673/678	===============	0/0	99.26	96.73	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
d60d52fd-1c93-416f-97d1-04de2216d2bc_1_contigs.fa	NODE_16_length_118913_cov_69.085782	39594	40393	cardnewid_2295	170-972/972	..======/======	1/3	82.30	99.38	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
