#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
cee14498-bc04-4a27-9bb1-da52409ca297_1_contigs.fa	NODE_11_length_174814_cov_61.372131	78	355	cardnewid_1170	1-278/414	===========....	0/0	67.15	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
cee14498-bc04-4a27-9bb1-da52409ca297_1_contigs.fa	NODE_12_length_166897_cov_62.473996	36409	37566	cardnewid_2001	1-1158/1158	===============	0/0	100.00	98.62	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
cee14498-bc04-4a27-9bb1-da52409ca297_1_contigs.fa	NODE_12_length_166897_cov_62.473996	124640	127789	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.27	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
cee14498-bc04-4a27-9bb1-da52409ca297_1_contigs.fa	NODE_12_length_166897_cov_62.473996	127812	129005	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.75	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
cee14498-bc04-4a27-9bb1-da52409ca297_1_contigs.fa	NODE_13_length_166081_cov_62.932188	128849	130081	cardnewid_1119	1-1233/1233	===============	0/0	100.00	95.86	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
cee14498-bc04-4a27-9bb1-da52409ca297_1_contigs.fa	NODE_14_length_165902_cov_60.922376	106433	107971	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.51	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
cee14498-bc04-4a27-9bb1-da52409ca297_1_contigs.fa	NODE_14_length_165902_cov_60.922376	107988	109160	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.29	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
cee14498-bc04-4a27-9bb1-da52409ca297_1_contigs.fa	NODE_14_length_165902_cov_60.922376	109287	109817	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
cee14498-bc04-4a27-9bb1-da52409ca297_1_contigs.fa	NODE_15_length_154617_cov_62.131299	37699	39342	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.21	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
cee14498-bc04-4a27-9bb1-da52409ca297_1_contigs.fa	NODE_15_length_154617_cov_62.131299	62071	63102	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.97	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
cee14498-bc04-4a27-9bb1-da52409ca297_1_contigs.fa	NODE_15_length_154617_cov_62.131299	63102	65153	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.78	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
cee14498-bc04-4a27-9bb1-da52409ca297_1_contigs.fa	NODE_15_length_154617_cov_62.131299	65150	66616	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.23	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
cee14498-bc04-4a27-9bb1-da52409ca297_1_contigs.fa	NODE_16_length_135715_cov_62.400758	7945	8617	cardnewid_2055	1-673/678	===============	0/0	99.26	97.03	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
cee14498-bc04-4a27-9bb1-da52409ca297_1_contigs.fa	NODE_1_length_643397_cov_60.850028	6464	7872	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
cee14498-bc04-4a27-9bb1-da52409ca297_1_contigs.fa	NODE_1_length_643397_cov_60.850028	47411	48577	cardnewid_912	1-1167/1167	========/======	6/12	99.49	84.57	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
cee14498-bc04-4a27-9bb1-da52409ca297_1_contigs.fa	NODE_1_length_643397_cov_60.850028	98242	99489	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.16	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
cee14498-bc04-4a27-9bb1-da52409ca297_1_contigs.fa	NODE_1_length_643397_cov_60.850028	99489	102611	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.95	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
