#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_105_length_742_cov_81.109774	176	649	cardnewid_1482	1-474/474	===============	0/0	100.00	100.00	cardformatted	001482	cardformatted~~~cardnewid_1482~~~001482
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_105_length_742_cov_81.109774	665	742	cardnewid_2295	98-175/972	.==............	0/0	8.02	100.00	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_11_length_167239_cov_51.015039	36416	37573	cardnewid_2001	1-1158/1158	===============	0/0	100.00	98.70	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_11_length_167239_cov_51.015039	124646	127795	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.27	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_11_length_167239_cov_51.015039	127818	129011	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.83	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_12_length_154617_cov_53.851262	88002	89468	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.16	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_12_length_154617_cov_53.851262	89465	91516	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.73	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_12_length_154617_cov_53.851262	91516	92547	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.97	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_12_length_154617_cov_53.851262	115276	116919	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.21	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_13_length_135441_cov_50.583767	8130	8802	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_1_length_537795_cov_50.359445	3661	4908	cardnewid_360	1-1248/1248	===============	0/0	100.00	99.92	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_1_length_537795_cov_50.359445	4908	8030	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.95	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_1_length_537795_cov_50.359445	8031	11108	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.15	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_1_length_537795_cov_50.359445	12521	13924	cardnewid_929	1-1404/1404	===============	0/0	100.00	98.65	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_1_length_537795_cov_50.359445	13921	14643	cardnewid_1255	1-723/723	===============	0/0	100.00	99.45	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_1_length_537795_cov_50.359445	162569	164212	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.24	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_1_length_537795_cov_50.359445	211230	212198	cardnewid_1968	1-969/969	===============	0/0	100.00	99.17	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_1_length_537795_cov_50.359445	313444	314982	cardnewid_501	1-1539/1539	===============	0/0	100.00	98.83	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_1_length_537795_cov_50.359445	314982	316037	cardnewid_568	1-1056/1056	===============	0/0	100.00	98.67	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_1_length_537795_cov_50.359445	316561	317175	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_1_length_537795_cov_50.359445	317180	320773	cardnewid_1238	1-3594/3594	===============	0/0	100.00	99.55	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_1_length_537795_cov_50.359445	378382	379686	cardnewid_1960	1-1305/1305	===============	0/0	100.00	98.24	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_1_length_537795_cov_50.359445	410804	413917	cardnewid_1337	1-3114/3114	===============	0/0	100.00	99.04	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_1_length_537795_cov_50.359445	435405	435879	cardnewid_1625	3-477/477	===============	0/0	99.58	97.47	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_20_length_90764_cov_56.625415	25182	26555	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.76	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_214_length_149_cov_92.125000	1	149	cardnewid_2295	99-247/972	.===...........	0/0	15.33	100.00	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_22_length_72877_cov_53.692033	20885	21268	cardnewid_1808	1-384/384	===============	0/0	100.00	99.48	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_26_length_54964_cov_52.528285	49169	50302	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.62	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_27_length_49256_cov_51.087293	6465	7873	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_27_length_49256_cov_51.087293	47238	48404	cardnewid_912	1-1167/1167	========/======	6/12	99.49	83.21	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_2_length_397049_cov_52.402575	153027	154514	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.45	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_2_length_397049_cov_52.402575	176873	177692	cardnewid_1713	1-820/822	===============	0/0	99.76	98.54	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_2_length_397049_cov_52.402575	386112	386774	cardnewid_486	1-663/663	===============	0/0	100.00	98.64	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_2_length_397049_cov_52.402575	387173	388330	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.96	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_2_length_397049_cov_52.402575	388342	391446	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.03	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_36_length_31837_cov_51.861241	28953	29285	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_37_length_31026_cov_51.748683	7846	8198	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.56	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_3_length_381721_cov_52.349242	94865	96097	cardnewid_1119	1-1233/1233	===============	0/0	100.00	95.86	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_4_length_247224_cov_51.080171	64240	65466	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.27	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_4_length_247224_cov_51.080171	74097	75305	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.35	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_4_length_247224_cov_51.080171	225726	226139	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_51_length_6498_cov_96.202461	5137	5976	cardnewid_1001	1-840/840	===============	0/0	100.00	100.00	cardformatted	001001	cardformatted~~~cardnewid_1001~~~001001
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_53_length_5126_cov_144.774609	1189	1980	cardnewid_368	1-792/792	===============	0/0	100.00	100.00	cardformatted	000368	cardformatted~~~cardnewid_368~~~000368
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_53_length_5126_cov_144.774609	3741	4970	cardnewid_1125	1-1230/1230	===============	0/0	100.00	100.00	cardformatted	001125	cardformatted~~~cardnewid_1125~~~001125
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_5_length_233457_cov_50.662465	26203	27435	cardnewid_2329	1-1233/1233	===============	0/0	100.00	97.40	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_5_length_233457_cov_50.662465	109224	110972	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.03	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_63_length_3459_cov_116.139267	1	82	cardnewid_1952	134-215/786	..===..........	0/0	10.43	98.78	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_63_length_3459_cov_116.139267	83	580	cardnewid_1070	1-498/498	===============	0/0	100.00	100.00	cardformatted	001070	cardformatted~~~cardnewid_1070~~~001070
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_63_length_3459_cov_116.139267	1000	1779	cardnewid_1151	1-780/780	===============	0/0	100.00	99.87	cardformatted	001151	cardformatted~~~cardnewid_1151~~~001151
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_63_length_3459_cov_116.139267	2041	3300	cardnewid_974	1-1260/1260	===============	0/0	100.00	99.92	cardformatted	000974	cardformatted~~~cardnewid_974~~~000974
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_63_length_3459_cov_116.139267	3383	3459	cardnewid_2295	171-247/972	..==...........	0/0	7.92	100.00	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_65_length_3156_cov_144.209808	930	2176	cardnewid_1828	1-1247/1275	===============	0/0	97.80	100.00	cardformatted	001828	cardformatted~~~cardnewid_1828~~~001828
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_6_length_228107_cov_50.551291	21833	22157	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_6_length_228107_cov_50.551291	22149	22507	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_77_length_1719_cov_250.282582	1	210	cardnewid_1952	1-210/786	=====..........	0/0	26.72	100.00	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_7_length_198894_cov_52.403109	56086	56616	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_7_length_198894_cov_52.403109	56743	57915	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.29	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_7_length_198894_cov_52.403109	57932	59470	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.51	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_97_length_861_cov_224.338010	1	802	cardnewid_2295	171-972/972	..=============	0/0	82.51	100.00	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
d3df685b-9459-4b43-b81b-05f0bcd5683c_1_contigs.fa	NODE_9_length_193326_cov_53.485881	454	1278	cardnewid_80	1-825/825	===============	0/0	100.00	97.82	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
