#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_11_length_124773_cov_44.642314	103446	103804	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.56	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_11_length_124773_cov_44.642314	103796	104120	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_12_length_120847_cov_44.900588	28501	29031	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_12_length_120847_cov_44.900588	29158	30330	cardnewid_1650	1-1173/1173	===============	0/0	100.00	99.91	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_12_length_120847_cov_44.900588	30347	31885	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.87	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_13_length_118932_cov_45.771310	18656	19882	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.43	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_13_length_118932_cov_45.771310	28511	29719	cardnewid_349	1-1209/1209	===============	0/0	100.00	99.92	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_14_length_110323_cov_45.265606	4011	4154	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_15_length_102765_cov_48.345347	31594	32805	cardnewid_1119	22-1233/1233	===============	0/0	98.30	95.46	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_17_length_89387_cov_45.752178	73889	74272	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_19_length_87077_cov_44.702805	61278	62651	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.98	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_1_length_433578_cov_44.694425	20351	21517	cardnewid_912	1-1167/1167	===============	0/0	100.00	78.32	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_1_length_433578_cov_44.694425	81984	83231	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.36	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_1_length_433578_cov_44.694425	83231	86353	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.12	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_1_length_433578_cov_44.694425	86354	89431	cardnewid_1236	1-3078/3078	===============	0/0	100.00	97.86	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_1_length_433578_cov_44.694425	90844	92247	cardnewid_929	1-1404/1404	===============	0/0	100.00	100.00	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_1_length_433578_cov_44.694425	92244	92966	cardnewid_1255	1-723/723	===============	0/0	100.00	100.00	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_1_length_433578_cov_44.694425	236369	238012	cardnewid_2133	1-1644/1644	===============	0/0	100.00	100.00	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_1_length_433578_cov_44.694425	296468	297436	cardnewid_1968	1-969/969	===============	0/0	100.00	100.00	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_1_length_433578_cov_44.694425	399819	401357	cardnewid_501	1-1539/1539	===============	0/0	100.00	98.96	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_1_length_433578_cov_44.694425	401357	402412	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.91	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_1_length_433578_cov_44.694425	402936	403550	cardnewid_954	1-615/615	===============	0/0	100.00	100.00	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_1_length_433578_cov_44.694425	403555	407148	cardnewid_1238	1-3594/3594	===============	0/0	100.00	99.67	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_21_length_81037_cov_45.292478	71705	73192	cardnewid_776	1-1488/1488	===============	0/0	100.00	99.73	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
8df29dab-af99-4617-9b43-4ef0d07c8259_1_contigs.fa	NODE_22_length_71779_cov_46.086106	32567	33391	cardnewid_80	1-825/825	===============	0/0	100.00	100.00	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
