#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
ccd5a695-6aca-4a8c-b586-136eb84d8050_1_contigs.fa	NODE_10_length_143937_cov_52.327242	27040	28683	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.39	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
ccd5a695-6aca-4a8c-b586-136eb84d8050_1_contigs.fa	NODE_10_length_143937_cov_52.327242	51403	52434	cardnewid_1350	1-1032/1032	===============	0/0	100.00	98.16	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
ccd5a695-6aca-4a8c-b586-136eb84d8050_1_contigs.fa	NODE_10_length_143937_cov_52.327242	52434	54485	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.68	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
ccd5a695-6aca-4a8c-b586-136eb84d8050_1_contigs.fa	NODE_10_length_143937_cov_52.327242	54482	55948	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.23	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
ccd5a695-6aca-4a8c-b586-136eb84d8050_1_contigs.fa	NODE_12_length_134991_cov_44.987540	6982	8390	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
ccd5a695-6aca-4a8c-b586-136eb84d8050_1_contigs.fa	NODE_13_length_134342_cov_47.543686	125726	126398	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
ccd5a695-6aca-4a8c-b586-136eb84d8050_1_contigs.fa	NODE_14_length_123847_cov_45.236802	49446	49859	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
ccd5a695-6aca-4a8c-b586-136eb84d8050_1_contigs.fa	NODE_15_length_122249_cov_78.643855	62201	62674	cardnewid_1482	1-474/474	===============	0/0	100.00	100.00	cardformatted	001482	cardformatted~~~cardnewid_1482~~~001482
ccd5a695-6aca-4a8c-b586-136eb84d8050_1_contigs.fa	NODE_15_length_122249_cov_78.643855	62691	62900	cardnewid_1952	1-210/786	=====..........	0/0	26.72	100.00	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
ccd5a695-6aca-4a8c-b586-136eb84d8050_1_contigs.fa	NODE_16_length_120818_cov_46.627749	16138	17886	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.26	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
