#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_11_length_195519_cov_51.995937	140093	141841	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.06	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_12_length_187394_cov_53.341069	128233	131346	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.43	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_12_length_187394_cov_53.341069	162580	162662	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_13_length_186518_cov_56.197398	86178	87371	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.25	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_13_length_186518_cov_56.197398	87394	90543	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.79	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_13_length_186518_cov_56.197398	175273	176430	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.32	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_14_length_173356_cov_53.438374	131770	132442	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_15_length_147278_cov_52.333863	101118	102350	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.43	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_16_length_129071_cov_64.103346	53545	54918	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_1_length_584992_cov_49.611704	42396	42779	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_1_length_584992_cov_49.611704	80444	80768	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_1_length_584992_cov_49.611704	80760	81118	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.11	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_1_length_584992_cov_49.611704	420242	420574	cardnewid_2240	1-333/333	===============	0/0	100.00	91.89	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_1_length_584992_cov_49.611704	516942	518350	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_20_length_107529_cov_50.625926	76392	77600	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.35	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_20_length_107529_cov_50.625926	86231	87457	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.37	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_25_length_29819_cov_60.379026	21743	22095	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.56	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_2_length_427285_cov_53.477292	31572	35165	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.24	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_2_length_427285_cov_53.477292	35170	35784	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_2_length_427285_cov_53.477292	36308	37363	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.82	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_2_length_427285_cov_53.477292	37363	38901	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.73	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_2_length_427285_cov_53.477292	136214	137182	cardnewid_1968	1-969/969	===============	0/0	100.00	97.83	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_2_length_427285_cov_53.477292	195425	197068	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.99	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_2_length_427285_cov_53.477292	332957	333678	cardnewid_1255	1-722/723	===============	0/0	99.86	97.09	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_2_length_427285_cov_53.477292	333675	335078	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.60	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_2_length_427285_cov_53.477292	336491	339568	cardnewid_1236	1-3078/3078	===============	0/0	100.00	92.27	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_2_length_427285_cov_53.477292	339569	342691	cardnewid_772	1-3123/3123	===============	0/0	100.00	95.39	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_2_length_427285_cov_53.477292	342691	343938	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.75	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_2_length_427285_cov_53.477292	399951	401117	cardnewid_912	1-1167/1167	===============	0/0	100.00	96.14	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_3_length_357309_cov_61.895396	118265	119752	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.25	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_3_length_357309_cov_61.895396	145536	146355	cardnewid_1713	1-820/822	===============	0/0	99.76	98.17	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_3_length_357309_cov_61.895396	346776	347438	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_3_length_357309_cov_61.895396	347837	348994	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_3_length_357309_cov_61.895396	349006	352110	cardnewid_1346	1-3105/3105	===============	0/0	100.00	97.17	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_4_length_332161_cov_62.645054	104680	106146	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.68	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_4_length_332161_cov_62.645054	106143	108194	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.73	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_4_length_332161_cov_62.645054	108194	109225	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.06	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_4_length_332161_cov_62.645054	138440	140083	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.18	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_4_length_332161_cov_62.645054	180360	181493	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.53	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_6_length_264898_cov_50.247178	173514	173927	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_8_length_221008_cov_56.719102	133308	134846	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.92	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
8bb3bbc4-3df2-4519-80dc-75247cb546ad_1_contigs.fa	NODE_8_length_221008_cov_56.719102	134863	136035	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.12	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
