#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_5_length_237083_cov_27.074074	113223	114455	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	97.57	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_65_length_6681_cov_43.312992	1849	2715	resfindernewid_2779	1-867/867	===============	0/0	100.00	99.88	resfinderformatted	002779	resfinderformatted~~~resfindernewid_2779~~~002779
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_65_length_6681_cov_43.312992	3235	4023	resfindernewid_168	1-789/789	===============	0/0	100.00	100.00	resfinderformatted	000168	resfinderformatted~~~resfindernewid_168~~~000168
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_65_length_6681_cov_43.312992	4154	4627	resfindernewid_2982	1-474/474	===============	0/0	100.00	100.00	resfinderformatted	002982	resfinderformatted~~~resfindernewid_2982~~~002982
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_65_length_6681_cov_43.312992	4646	4812	resfindernewid_159	1-174/972	===...../......	3/7	17.18	95.98	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_73_length_4539_cov_42.510982	86	922	resfindernewid_41	1-837/837	===============	0/0	100.00	100.00	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_73_length_4539_cov_42.510982	922	1725	resfindernewid_239	1-804/804	===============	0/0	100.00	100.00	resfinderformatted	000239	resfinderformatted~~~resfindernewid_239~~~000239
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_73_length_4539_cov_42.510982	1786	2601	resfindernewid_2806	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002806	resfinderformatted~~~resfindernewid_2806~~~002806
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_78_length_3701_cov_37.325055	2636	3557	resfindernewid_2511	1-921/921	========/======	1/1	100.00	99.67	resfinderformatted	002511	resfinderformatted~~~resfindernewid_2511~~~002511
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_78_length_3701_cov_37.325055	2652	3557	resfindernewid_2510	1-906/906	===============	0/0	100.00	100.00	resfinderformatted	002510	resfinderformatted~~~resfindernewid_2510~~~002510
63e22122-4fd3-4190-ba5b-b271e29ae0a8_1_contigs.fa	NODE_85_length_2070_cov_53.123934	612	1472	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
