#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_11_length_144451_cov_33.509676	126610	128018	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.34	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_13_length_134451_cov_34.000112	7945	8617	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_15_length_112381_cov_34.304121	37981	38394	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_16_length_111451_cov_34.395424	100918	101580	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_16_length_111451_cov_34.395424	101979	103136	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_16_length_111451_cov_34.395424	103148	106252	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.03	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_17_length_111150_cov_33.998866	75716	76948	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.11	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_19_length_102866_cov_34.306258	18298	19524	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.19	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_19_length_102866_cov_34.306258	28155	29363	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.43	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_1_length_398992_cov_34.508602	128325	129518	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.83	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_1_length_398992_cov_34.508602	129541	132690	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.11	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_1_length_398992_cov_34.508602	219877	221034	cardnewid_2001	1-1158/1158	===============	0/0	100.00	98.70	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_22_length_93076_cov_33.975053	16137	17885	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.26	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_23_length_83584_cov_34.745111	22708	24081	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.76	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_29_length_58938_cov_34.593976	23561	24283	cardnewid_1255	1-723/723	===============	0/0	100.00	100.00	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_29_length_58938_cov_34.593976	24280	25683	cardnewid_929	1-1404/1404	===============	0/0	100.00	100.00	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_29_length_58938_cov_34.593976	27096	30173	cardnewid_1236	1-3078/3078	===============	0/0	100.00	99.84	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_29_length_58938_cov_34.593976	30174	33296	cardnewid_772	1-3123/3123	===============	0/0	100.00	99.17	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_29_length_58938_cov_34.593976	33296	34543	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.88	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
a32da900-67af-463f-8a4f-80a6edd3b5ac_1_contigs.fa	NODE_2_length_304639_cov_33.809369	31848	35441	cardnewid_1238	1-3594/3594	===============	0/0	100.00	98.91	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
