#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_10_length_194445_cov_32.274953	178382	179515	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.15	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_11_length_188066_cov_32.097447	113873	115339	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.61	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_11_length_188066_cov_32.097447	115336	117387	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.03	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_11_length_188066_cov_32.097447	117387	118418	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.74	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_11_length_188066_cov_32.097447	147633	149276	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.85	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_12_length_186539_cov_29.193584	127355	130468	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.04	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_12_length_186539_cov_29.193584	161728	161810	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_13_length_174058_cov_28.834672	132633	133305	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_14_length_168557_cov_29.168174	10128	11285	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.50	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_14_length_168557_cov_29.168174	96146	99295	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.63	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_14_length_168557_cov_29.168174	99318	100511	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_15_length_132406_cov_32.376667	74164	75537	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_18_length_110272_cov_28.356377	80486	81694	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.26	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_18_length_110272_cov_28.356377	90323	91549	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.21	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_1_length_563400_cov_27.415605	60951	62359	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_1_length_563400_cov_27.415605	158727	159059	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_1_length_563400_cov_27.415605	487751	488109	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.67	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_1_length_563400_cov_27.415605	488101	488425	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_1_length_563400_cov_27.415605	526047	526430	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_25_length_29924_cov_31.166080	21848	22200	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.28	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_2_length_390435_cov_28.655539	30535	31782	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.11	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_2_length_390435_cov_28.655539	31782	34904	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.29	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_2_length_390435_cov_28.655539	34905	37982	cardnewid_1236	1-3078/3078	===============	0/0	100.00	94.18	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_2_length_390435_cov_28.655539	39395	40798	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.53	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_2_length_390435_cov_28.655539	40795	41516	cardnewid_1255	1-722/723	===============	0/0	99.86	96.81	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_2_length_390435_cov_28.655539	182423	184066	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.05	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_2_length_390435_cov_28.655539	241961	242929	cardnewid_1968	1-969/969	===============	0/0	100.00	97.63	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_2_length_390435_cov_28.655539	351534	353072	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.73	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_2_length_390435_cov_28.655539	353072	354127	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.73	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_2_length_390435_cov_28.655539	354651	355265	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
65f781cf-c89f-44ab-97c7-e2cb4773bf4b_1_contigs.fa	NODE_2_length_390435_cov_28.655539	355270	358863	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.19	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
