#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_10_length_157095_cov_45.555522	100270	101913	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.26	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_11_length_153292_cov_52.318161	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	97.97	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_11_length_153292_cov_52.318161	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_11_length_153292_cov_52.318161	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	96.98	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_13_length_146600_cov_47.556438	9548	11086	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.40	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_13_length_146600_cov_47.556438	11086	12141	cardnewid_568	1-1056/1056	===============	0/0	100.00	96.97	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_13_length_146600_cov_47.556438	12665	13279	cardnewid_954	1-615/615	===============	0/0	100.00	99.19	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_13_length_146600_cov_47.556438	13284	16877	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.63	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_13_length_146600_cov_47.556438	70404	71708	cardnewid_1960	1-1305/1305	===============	0/0	100.00	96.32	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_13_length_146600_cov_47.556438	103229	106342	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.91	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_13_length_146600_cov_47.556438	127047	127523	cardnewid_1625	1-477/477	===============	0/0	100.00	97.90	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_14_length_129296_cov_51.615103	42390	43877	cardnewid_776	1-1488/1488	===============	0/0	100.00	99.80	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_14_length_129296_cov_51.615103	66254	67075	cardnewid_1713	1-822/822	===============	0/0	100.00	100.00	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_16_length_106939_cov_53.980320	39944	41317	cardnewid_137	1-1374/1374	===============	0/0	100.00	97.82	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_17_length_95679_cov_46.548817	5706	6674	cardnewid_1968	1-969/969	===============	0/0	100.00	98.04	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_19_length_88060_cov_50.857052	15078	15710	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_1_length_351668_cov_50.871766	31219	32451	cardnewid_1119	1-1233/1233	===============	0/0	100.00	100.00	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_20_length_83455_cov_44.443258	34892	36300	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.05	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_21_length_80210_cov_44.273695	20433	20816	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
081f6f17-bbe9-4088-8b1f-6e5560cd1a13_1_contigs.fa	NODE_29_length_55975_cov_55.237647	48953	50110	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.53	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
