#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
5f3cc6c5-8b46-4d3a-b484-5b0467bedecb_1_contigs.fa	NODE_10_length_149167_cov_38.338648	42892	44085	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.83	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
5f3cc6c5-8b46-4d3a-b484-5b0467bedecb_1_contigs.fa	NODE_10_length_149167_cov_38.338648	44108	47257	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.08	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
5f3cc6c5-8b46-4d3a-b484-5b0467bedecb_1_contigs.fa	NODE_10_length_149167_cov_38.338648	144220	145377	cardnewid_2001	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
5f3cc6c5-8b46-4d3a-b484-5b0467bedecb_1_contigs.fa	NODE_11_length_148578_cov_38.002343	5359	8463	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.00	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
5f3cc6c5-8b46-4d3a-b484-5b0467bedecb_1_contigs.fa	NODE_11_length_148578_cov_38.002343	8475	9632	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
5f3cc6c5-8b46-4d3a-b484-5b0467bedecb_1_contigs.fa	NODE_11_length_148578_cov_38.002343	10031	10693	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
5f3cc6c5-8b46-4d3a-b484-5b0467bedecb_1_contigs.fa	NODE_12_length_132827_cov_38.080075	437	967	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
5f3cc6c5-8b46-4d3a-b484-5b0467bedecb_1_contigs.fa	NODE_12_length_132827_cov_38.080075	1094	2266	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
5f3cc6c5-8b46-4d3a-b484-5b0467bedecb_1_contigs.fa	NODE_12_length_132827_cov_38.080075	2283	3821	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.81	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
5f3cc6c5-8b46-4d3a-b484-5b0467bedecb_1_contigs.fa	NODE_15_length_120030_cov_38.746335	70185	71004	cardnewid_1713	1-820/822	===============	0/0	99.76	98.66	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
5f3cc6c5-8b46-4d3a-b484-5b0467bedecb_1_contigs.fa	NODE_15_length_120030_cov_38.746335	93363	94850	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.39	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
5f3cc6c5-8b46-4d3a-b484-5b0467bedecb_1_contigs.fa	NODE_16_length_116742_cov_38.583423	526	1350	cardnewid_80	1-825/825	===============	0/0	100.00	97.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
5f3cc6c5-8b46-4d3a-b484-5b0467bedecb_1_contigs.fa	NODE_16_length_116742_cov_38.583423	1718	2446	cardnewid_2042	1-729/729	===============	0/0	100.00	94.38	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
5f3cc6c5-8b46-4d3a-b484-5b0467bedecb_1_contigs.fa	NODE_16_length_116742_cov_38.583423	2809	5922	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.52	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
5f3cc6c5-8b46-4d3a-b484-5b0467bedecb_1_contigs.fa	NODE_16_length_116742_cov_38.583423	5947	7104	cardnewid_1790	1-1158/1158	===============	0/0	100.00	99.74	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
