#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_10_length_195533_cov_40.453846	49051	49581	cardnewid_1248	1-531/531	===============	0/0	100.00	98.68	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_10_length_195533_cov_40.453846	49708	50880	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_10_length_195533_cov_40.453846	50897	52435	cardnewid_1738	1-1539/1539	===============	0/0	100.00	96.95	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_11_length_175385_cov_43.023416	26110	27753	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.85	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_11_length_175385_cov_43.023416	56968	57999	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.64	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_11_length_175385_cov_43.023416	57999	60050	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.08	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_11_length_175385_cov_43.023416	60047	61513	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.61	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_12_length_170773_cov_42.955459	154513	155646	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.15	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_13_length_169730_cov_38.131156	51861	52219	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.67	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_13_length_169730_cov_38.131156	52211	52535	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_13_length_169730_cov_38.131156	131382	131765	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_14_length_149892_cov_37.345459	66125	67533	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.19	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_16_length_132425_cov_42.402975	121892	122554	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_16_length_132425_cov_42.402975	122953	124110	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_16_length_132425_cov_42.402975	124122	127226	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.49	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_17_length_132398_cov_44.022574	56870	58243	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_1_length_588580_cov_38.817583	127355	130468	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.04	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_1_length_588580_cov_38.817583	161728	161810	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_1_length_588580_cov_38.817583	218239	221832	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.19	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_1_length_588580_cov_38.817583	221837	222451	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_1_length_588580_cov_38.817583	222975	224030	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.73	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_1_length_588580_cov_38.817583	224030	225568	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.73	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_1_length_588580_cov_38.817583	334173	335141	cardnewid_1968	1-969/969	===============	0/0	100.00	97.63	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_1_length_588580_cov_38.817583	393036	394679	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.05	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
b79a8b38-4953-4f2e-b7c6-e80653bda648_1_contigs.fa	NODE_1_length_588580_cov_38.817583	547065	547786	cardnewid_1255	1-722/723	===============	0/0	99.86	96.81	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
