#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
70e0b131-cace-484b-a2dd-ac142a33f48b_1_contigs.fa	NODE_10_length_203273_cov_27.745812	145367	146044	cardnewid_2055	1-678/678	===============	0/0	100.00	97.20	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
70e0b131-cace-484b-a2dd-ac142a33f48b_1_contigs.fa	NODE_11_length_186684_cov_28.650447	134027	135160	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.24	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
70e0b131-cace-484b-a2dd-ac142a33f48b_1_contigs.fa	NODE_11_length_186684_cov_28.650447	177333	178976	cardnewid_609	1-1644/1644	===============	0/0	100.00	98.78	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
70e0b131-cace-484b-a2dd-ac142a33f48b_1_contigs.fa	NODE_13_length_143979_cov_29.481008	86859	88105	cardnewid_1828	1-1247/1275	===============	0/0	97.80	99.92	cardformatted	001828	cardformatted~~~cardnewid_1828~~~001828
70e0b131-cace-484b-a2dd-ac142a33f48b_1_contigs.fa	NODE_14_length_135620_cov_28.126772	68826	70199	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
70e0b131-cace-484b-a2dd-ac142a33f48b_1_contigs.fa	NODE_15_length_130782_cov_26.823985	70179	71717	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.90	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
70e0b131-cace-484b-a2dd-ac142a33f48b_1_contigs.fa	NODE_15_length_130782_cov_26.823985	71734	72906	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.98	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
70e0b131-cace-484b-a2dd-ac142a33f48b_1_contigs.fa	NODE_15_length_130782_cov_26.823985	73033	73563	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
70e0b131-cace-484b-a2dd-ac142a33f48b_1_contigs.fa	NODE_18_length_117613_cov_31.989280	15412	15795	cardnewid_1808	1-384/384	===============	0/0	100.00	99.48	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
70e0b131-cace-484b-a2dd-ac142a33f48b_1_contigs.fa	NODE_19_length_116595_cov_27.934680	30554	31720	cardnewid_912	1-1167/1167	===============	0/0	100.00	95.03	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
70e0b131-cace-484b-a2dd-ac142a33f48b_1_contigs.fa	NODE_19_length_116595_cov_27.934680	83250	84497	cardnewid_360	1-1248/1248	===============	0/0	100.00	100.00	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
70e0b131-cace-484b-a2dd-ac142a33f48b_1_contigs.fa	NODE_19_length_116595_cov_27.934680	84497	87619	cardnewid_772	1-3123/3123	===============	0/0	100.00	99.84	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
70e0b131-cace-484b-a2dd-ac142a33f48b_1_contigs.fa	NODE_19_length_116595_cov_27.934680	87620	90697	cardnewid_1236	1-3078/3078	===============	0/0	100.00	99.87	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
70e0b131-cace-484b-a2dd-ac142a33f48b_1_contigs.fa	NODE_19_length_116595_cov_27.934680	92110	93513	cardnewid_929	1-1404/1404	===============	0/0	100.00	100.00	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
70e0b131-cace-484b-a2dd-ac142a33f48b_1_contigs.fa	NODE_19_length_116595_cov_27.934680	93510	94232	cardnewid_1255	1-723/723	===============	0/0	100.00	100.00	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
70e0b131-cace-484b-a2dd-ac142a33f48b_1_contigs.fa	NODE_1_length_431241_cov_27.290660	60166	60490	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
