#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
526cdeda-de59-458f-b58d-120723bbf7ab_1_contigs.fa	NODE_10_length_176530_cov_39.908848	92001	93227	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.45	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
526cdeda-de59-458f-b58d-120723bbf7ab_1_contigs.fa	NODE_10_length_176530_cov_39.908848	101858	103066	cardnewid_349	1-1209/1209	===============	0/0	100.00	97.85	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
526cdeda-de59-458f-b58d-120723bbf7ab_1_contigs.fa	NODE_11_length_150847_cov_30.872528	15085	15717	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
526cdeda-de59-458f-b58d-120723bbf7ab_1_contigs.fa	NODE_12_length_131042_cov_29.831711	122552	123229	cardnewid_2055	1-678/678	===============	0/0	100.00	95.43	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
526cdeda-de59-458f-b58d-120723bbf7ab_1_contigs.fa	NODE_13_length_121085_cov_30.412138	33289	33819	cardnewid_1248	1-531/531	===============	0/0	100.00	99.44	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
526cdeda-de59-458f-b58d-120723bbf7ab_1_contigs.fa	NODE_13_length_121085_cov_30.412138	33946	35118	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.95	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
526cdeda-de59-458f-b58d-120723bbf7ab_1_contigs.fa	NODE_13_length_121085_cov_30.412138	35135	36673	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.99	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
526cdeda-de59-458f-b58d-120723bbf7ab_1_contigs.fa	NODE_14_length_119514_cov_29.215260	102089	103282	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.25	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
526cdeda-de59-458f-b58d-120723bbf7ab_1_contigs.fa	NODE_14_length_119514_cov_29.215260	103305	106454	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.05	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
526cdeda-de59-458f-b58d-120723bbf7ab_1_contigs.fa	NODE_17_length_92447_cov_32.153102	22473	23846	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.62	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
