#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
cf33f2dc-01e3-4e38-8848-0821f31bc52a_1_contigs.fa	NODE_11_length_148176_cov_52.425256	82584	83552	cardnewid_1968	1-969/969	===============	0/0	100.00	99.38	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
cf33f2dc-01e3-4e38-8848-0821f31bc52a_1_contigs.fa	NODE_11_length_148176_cov_52.425256	141791	143434	cardnewid_2133	1-1644/1644	===============	0/0	100.00	99.03	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
cf33f2dc-01e3-4e38-8848-0821f31bc52a_1_contigs.fa	NODE_14_length_129854_cov_57.851730	2549	4192	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.51	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
cf33f2dc-01e3-4e38-8848-0821f31bc52a_1_contigs.fa	NODE_14_length_129854_cov_57.851730	33536	34567	cardnewid_1350	1-1032/1032	===============	0/0	100.00	98.06	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
cf33f2dc-01e3-4e38-8848-0821f31bc52a_1_contigs.fa	NODE_14_length_129854_cov_57.851730	34567	36609	cardnewid_1932	1-2052/2052	========/======	1/9	99.56	98.49	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
cf33f2dc-01e3-4e38-8848-0821f31bc52a_1_contigs.fa	NODE_14_length_129854_cov_57.851730	36606	38072	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.09	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
cf33f2dc-01e3-4e38-8848-0821f31bc52a_1_contigs.fa	NODE_15_length_128713_cov_58.710237	105096	106229	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.71	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
cf33f2dc-01e3-4e38-8848-0821f31bc52a_1_contigs.fa	NODE_17_length_126422_cov_61.363283	60640	62013	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.91	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
cf33f2dc-01e3-4e38-8848-0821f31bc52a_1_contigs.fa	NODE_18_length_122913_cov_52.577241	18545	19021	cardnewid_1625	1-477/477	===============	0/0	100.00	99.58	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
cf33f2dc-01e3-4e38-8848-0821f31bc52a_1_contigs.fa	NODE_18_length_122913_cov_52.577241	40510	43623	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.91	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
cf33f2dc-01e3-4e38-8848-0821f31bc52a_1_contigs.fa	NODE_18_length_122913_cov_52.577241	75087	76391	cardnewid_1960	1-1305/1305	===============	0/0	100.00	98.16	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
