#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
b2e6ba09-aa02-45b9-bdda-484ff4779e53_1_contigs.fa	NODE_107_length_508_cov_105.677494	407	508	resfindernewid_2804	715-816/816	.............==	0/0	12.50	100.00	resfinderformatted	002804	resfinderformatted~~~resfindernewid_2804~~~002804
b2e6ba09-aa02-45b9-bdda-484ff4779e53_1_contigs.fa	NODE_132_length_207_cov_116.015385	106	207	resfindernewid_2806	715-816/816	.............==	0/0	12.50	100.00	resfinderformatted	002806	resfinderformatted~~~resfindernewid_2806~~~002806
b2e6ba09-aa02-45b9-bdda-484ff4779e53_1_contigs.fa	NODE_20_length_95495_cov_127.773659	901	2147	resfindernewid_2879	1-1247/1275	===============	0/0	97.80	100.00	resfinderformatted	002879	resfinderformatted~~~resfindernewid_2879~~~002879
b2e6ba09-aa02-45b9-bdda-484ff4779e53_1_contigs.fa	NODE_24_length_87784_cov_64.022826	16991	17346	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
b2e6ba09-aa02-45b9-bdda-484ff4779e53_1_contigs.fa	NODE_61_length_6637_cov_75.417073	1281	2486	resfindernewid_2892	1-1206/1206	===============	0/0	100.00	100.00	resfinderformatted	002892	resfinderformatted~~~resfindernewid_2892~~~002892
b2e6ba09-aa02-45b9-bdda-484ff4779e53_1_contigs.fa	NODE_63_length_5995_cov_59.764278	4994	5807	resfindernewid_199	1-814/816	===============	0/0	99.75	99.75	resfinderformatted	000199	resfinderformatted~~~resfindernewid_199~~~000199
b2e6ba09-aa02-45b9-bdda-484ff4779e53_1_contigs.fa	NODE_72_length_2832_cov_113.003267	646	1859	resfindernewid_2632	1-1214/1215	===============	0/0	99.92	98.19	resfinderformatted	002632	resfinderformatted~~~resfindernewid_2632~~~002632
b2e6ba09-aa02-45b9-bdda-484ff4779e53_1_contigs.fa	NODE_77_length_1778_cov_159.368607	107	943	resfindernewid_41	1-837/837	===============	0/0	100.00	100.00	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
b2e6ba09-aa02-45b9-bdda-484ff4779e53_1_contigs.fa	NODE_77_length_1778_cov_159.368607	943	1745	resfindernewid_238	2-804/804	===============	0/0	99.88	100.00	resfinderformatted	000238	resfinderformatted~~~resfindernewid_238~~~000238
b2e6ba09-aa02-45b9-bdda-484ff4779e53_1_contigs.fa	NODE_78_length_1714_cov_136.307269	600	1460	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
b2e6ba09-aa02-45b9-bdda-484ff4779e53_1_contigs.fa	NODE_8_length_159150_cov_60.158047	131709	132941	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	98.46	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
b2e6ba09-aa02-45b9-bdda-484ff4779e53_1_contigs.fa	NODE_91_length_1091_cov_207.245562	1	791	resfindernewid_2806	1-791/816	===============	0/0	96.94	100.00	resfinderformatted	002806	resfinderformatted~~~resfindernewid_2806~~~002806
