#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_10_length_174966_cov_134.778888	111348	112814	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.61	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_10_length_174966_cov_134.778888	112811	114862	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.83	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_10_length_174966_cov_134.778888	114862	115893	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.93	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_10_length_174966_cov_134.778888	145116	146759	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.73	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_11_length_159585_cov_123.185666	65770	67002	cardnewid_1119	1-1233/1233	===============	0/0	100.00	99.92	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_12_length_144454_cov_116.969867	97674	99212	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.79	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_12_length_144454_cov_116.969867	99229	100401	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.12	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_12_length_144454_cov_116.969867	100528	101058	cardnewid_1248	1-531/531	===============	0/0	100.00	98.68	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_13_length_141456_cov_133.800034	124287	125420	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.15	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_14_length_134727_cov_113.426605	12622	14370	cardnewid_2113	1-1749/1749	===============	0/0	100.00	97.77	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_14_length_134727_cov_113.426605	92528	93760	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.35	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_18_length_70718_cov_134.091598	14021	15394	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.40	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_1_length_635546_cov_114.751720	170349	173462	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.59	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_1_length_635546_cov_114.751720	204696	204778	cardnewid_1960	1-83/1305	=..............	0/0	6.36	96.39	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_1_length_635546_cov_114.751720	261439	265032	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.27	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_1_length_635546_cov_114.751720	265037	265651	cardnewid_954	1-615/615	===============	0/0	100.00	98.86	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_1_length_635546_cov_114.751720	266175	267230	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.63	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_1_length_635546_cov_114.751720	267230	268768	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.66	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_1_length_635546_cov_114.751720	366066	367034	cardnewid_1968	1-969/969	===============	0/0	100.00	97.52	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_1_length_635546_cov_114.751720	425148	426791	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.05	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_1_length_635546_cov_114.751720	567522	568243	cardnewid_1255	1-722/723	===============	0/0	99.86	97.37	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_1_length_635546_cov_114.751720	568240	569643	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.38	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_1_length_635546_cov_114.751720	571056	574133	cardnewid_1236	1-3078/3078	===============	0/0	100.00	94.15	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_1_length_635546_cov_114.751720	574134	577256	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.09	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_1_length_635546_cov_114.751720	577256	578503	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.27	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_1_length_635546_cov_114.751720	633110	634276	cardnewid_912	1-1167/1167	===============	0/0	100.00	96.32	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_22_length_30045_cov_148.339361	21793	22145	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	76.12	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_2_length_583745_cov_96.562980	174926	175258	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_2_length_583745_cov_96.562980	510431	510789	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.11	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_2_length_583745_cov_96.562980	510781	511105	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_2_length_583745_cov_96.562980	548772	549155	cardnewid_1808	1-384/384	===============	0/0	100.00	98.18	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_3_length_565271_cov_115.326411	101945	102617	cardnewid_2055	1-673/678	===============	0/0	99.26	95.99	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_3_length_565271_cov_115.326411	304495	305688	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_3_length_565271_cov_115.326411	305711	308860	cardnewid_1033	1-3150/3150	===============	0/0	100.00	97.75	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
06a0eba9-ff16-4640-8adc-f764a4b927a0_1_contigs.fa	NODE_3_length_565271_cov_115.326411	393721	394878	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.41	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
