#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
bdada405-1cf9-4a03-9fe4-21f13a29541c_1_contigs.fa	NODE_110_length_671_cov_48.607744	299	596	resfindernewid_2636	1-298/660	=======........	0/0	45.15	100.00	resfinderformatted	002636	resfinderformatted~~~resfindernewid_2636~~~002636
bdada405-1cf9-4a03-9fe4-21f13a29541c_1_contigs.fa	NODE_6_length_219564_cov_54.945259	146940	148172	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	97.57	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
bdada405-1cf9-4a03-9fe4-21f13a29541c_1_contigs.fa	NODE_70_length_6596_cov_171.665900	1850	2716	resfindernewid_2779	1-867/867	===============	0/0	100.00	99.88	resfinderformatted	002779	resfinderformatted~~~resfindernewid_2779~~~002779
bdada405-1cf9-4a03-9fe4-21f13a29541c_1_contigs.fa	NODE_70_length_6596_cov_171.665900	3236	4024	resfindernewid_168	1-789/789	===============	0/0	100.00	100.00	resfinderformatted	000168	resfinderformatted~~~resfindernewid_168~~~000168
bdada405-1cf9-4a03-9fe4-21f13a29541c_1_contigs.fa	NODE_70_length_6596_cov_171.665900	4155	4628	resfindernewid_2982	1-474/474	===============	0/0	100.00	100.00	resfinderformatted	002982	resfinderformatted~~~resfindernewid_2982~~~002982
bdada405-1cf9-4a03-9fe4-21f13a29541c_1_contigs.fa	NODE_70_length_6596_cov_171.665900	4647	4813	resfindernewid_159	1-174/972	===...../......	3/7	17.18	95.98	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
bdada405-1cf9-4a03-9fe4-21f13a29541c_1_contigs.fa	NODE_77_length_4538_cov_169.689307	85	921	resfindernewid_41	1-837/837	===============	0/0	100.00	100.00	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
bdada405-1cf9-4a03-9fe4-21f13a29541c_1_contigs.fa	NODE_77_length_4538_cov_169.689307	921	1724	resfindernewid_239	1-804/804	===============	0/0	100.00	100.00	resfinderformatted	000239	resfinderformatted~~~resfindernewid_239~~~000239
bdada405-1cf9-4a03-9fe4-21f13a29541c_1_contigs.fa	NODE_77_length_4538_cov_169.689307	1785	2600	resfindernewid_2806	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002806	resfinderformatted~~~resfindernewid_2806~~~002806
bdada405-1cf9-4a03-9fe4-21f13a29541c_1_contigs.fa	NODE_79_length_4298_cov_45.770434	2076	3281	resfindernewid_2892	1-1206/1206	===============	0/0	100.00	100.00	resfinderformatted	002892	resfinderformatted~~~resfindernewid_2892~~~002892
bdada405-1cf9-4a03-9fe4-21f13a29541c_1_contigs.fa	NODE_86_length_2068_cov_159.811652	612	1472	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
