#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
624ce1ac-dd85-454a-b797-50faeffae43b_1_contigs.fa	NODE_28_length_46988_cov_77.198951	21712	22067	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
624ce1ac-dd85-454a-b797-50faeffae43b_1_contigs.fa	NODE_43_length_18867_cov_130.751570	652	1512	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
624ce1ac-dd85-454a-b797-50faeffae43b_1_contigs.fa	NODE_57_length_7071_cov_124.731198	75	337	resfindernewid_2463	968-1230/1230	...........====	0/0	21.38	99.62	resfinderformatted	002463	resfinderformatted~~~resfindernewid_2463~~~002463
624ce1ac-dd85-454a-b797-50faeffae43b_1_contigs.fa	NODE_57_length_7071_cov_124.731198	2098	2889	resfindernewid_2823	1-792/792	===============	0/0	100.00	100.00	resfinderformatted	002823	resfinderformatted~~~resfindernewid_2823~~~002823
624ce1ac-dd85-454a-b797-50faeffae43b_1_contigs.fa	NODE_57_length_7071_cov_124.731198	4571	5372	resfindernewid_35	18-819/819	===============	0/0	97.92	99.88	resfinderformatted	000035	resfinderformatted~~~resfindernewid_35~~~000035
624ce1ac-dd85-454a-b797-50faeffae43b_1_contigs.fa	NODE_57_length_7071_cov_124.731198	6995	7071	resfindernewid_159	97-173/972	.==............	0/0	7.92	100.00	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
624ce1ac-dd85-454a-b797-50faeffae43b_1_contigs.fa	NODE_58_length_5806_cov_71.780939	4848	5507	resfindernewid_2636	1-660/660	===============	0/0	100.00	99.85	resfinderformatted	002636	resfinderformatted~~~resfindernewid_2636~~~002636
624ce1ac-dd85-454a-b797-50faeffae43b_1_contigs.fa	NODE_59_length_5098_cov_76.268273	1818	3023	resfindernewid_2892	1-1206/1206	===============	0/0	100.00	100.00	resfinderformatted	002892	resfinderformatted~~~resfindernewid_2892~~~002892
624ce1ac-dd85-454a-b797-50faeffae43b_1_contigs.fa	NODE_62_length_4538_cov_67.768662	1939	2754	resfindernewid_2806	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002806	resfinderformatted~~~resfindernewid_2806~~~002806
624ce1ac-dd85-454a-b797-50faeffae43b_1_contigs.fa	NODE_62_length_4538_cov_67.768662	2815	3618	resfindernewid_239	1-804/804	===============	0/0	100.00	100.00	resfinderformatted	000239	resfinderformatted~~~resfindernewid_239~~~000239
624ce1ac-dd85-454a-b797-50faeffae43b_1_contigs.fa	NODE_62_length_4538_cov_67.768662	3618	4454	resfindernewid_41	1-837/837	===============	0/0	100.00	100.00	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
624ce1ac-dd85-454a-b797-50faeffae43b_1_contigs.fa	NODE_65_length_3688_cov_140.436444	2565	3425	resfindernewid_115	1-861/861	===============	0/0	100.00	99.88	resfinderformatted	000115	resfinderformatted~~~resfindernewid_115~~~000115
624ce1ac-dd85-454a-b797-50faeffae43b_1_contigs.fa	NODE_72_length_1771_cov_69.653483	283	1071	resfindernewid_168	1-789/789	===============	0/0	100.00	100.00	resfinderformatted	000168	resfinderformatted~~~resfindernewid_168~~~000168
624ce1ac-dd85-454a-b797-50faeffae43b_1_contigs.fa	NODE_72_length_1771_cov_69.653483	1202	1675	resfindernewid_2982	1-474/474	===============	0/0	100.00	100.00	resfinderformatted	002982	resfinderformatted~~~resfindernewid_2982~~~002982
624ce1ac-dd85-454a-b797-50faeffae43b_1_contigs.fa	NODE_72_length_1771_cov_69.653483	1694	1771	resfindernewid_159	97-174/972	.==............	0/0	8.02	100.00	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
624ce1ac-dd85-454a-b797-50faeffae43b_1_contigs.fa	NODE_7_length_182798_cov_71.469328	102096	103328	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	99.92	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
624ce1ac-dd85-454a-b797-50faeffae43b_1_contigs.fa	NODE_80_length_1234_cov_200.512532	1	166	resfindernewid_159	1-173/972	===...../......	3/7	17.08	95.38	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
624ce1ac-dd85-454a-b797-50faeffae43b_1_contigs.fa	NODE_81_length_1192_cov_74.648430	164	979	resfindernewid_199	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	000199	resfinderformatted~~~resfindernewid_199~~~000199
