#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
38b6a8fb-a0b2-4917-bd6c-b62d11abc155_1_contigs.fa	NODE_10_length_148617_cov_64.052841	147401	147874	resfindernewid_3022	1-474/474	===============	0/0	100.00	100.00	resfinderformatted	003022	resfinderformatted~~~resfindernewid_3022~~~003022
38b6a8fb-a0b2-4917-bd6c-b62d11abc155_1_contigs.fa	NODE_10_length_148617_cov_64.052841	148540	148617	resfindernewid_159	170-247/972	..==...........	0/0	8.02	100.00	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
38b6a8fb-a0b2-4917-bd6c-b62d11abc155_1_contigs.fa	NODE_40_length_24843_cov_61.261447	16794	17149	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
38b6a8fb-a0b2-4917-bd6c-b62d11abc155_1_contigs.fa	NODE_48_length_6720_cov_95.494355	1280	2485	resfindernewid_2892	1-1206/1206	===============	0/0	100.00	100.00	resfinderformatted	002892	resfinderformatted~~~resfindernewid_2892~~~002892
38b6a8fb-a0b2-4917-bd6c-b62d11abc155_1_contigs.fa	NODE_49_length_5659_cov_72.934970	1	77	resfindernewid_159	171-247/972	..==...........	0/0	7.92	100.00	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
38b6a8fb-a0b2-4917-bd6c-b62d11abc155_1_contigs.fa	NODE_49_length_5659_cov_72.934970	160	1419	resfindernewid_2627	1-1260/1260	===============	0/0	100.00	99.92	resfinderformatted	002627	resfinderformatted~~~resfindernewid_2627~~~002627
38b6a8fb-a0b2-4917-bd6c-b62d11abc155_1_contigs.fa	NODE_49_length_5659_cov_72.934970	1681	2482	resfindernewid_35	18-819/819	===============	0/0	97.92	99.88	resfinderformatted	000035	resfinderformatted~~~resfindernewid_35~~~000035
38b6a8fb-a0b2-4917-bd6c-b62d11abc155_1_contigs.fa	NODE_49_length_5659_cov_72.934970	4105	4270	resfindernewid_159	1-173/972	===...../......	3/7	17.08	95.38	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
38b6a8fb-a0b2-4917-bd6c-b62d11abc155_1_contigs.fa	NODE_4_length_254336_cov_58.122002	44521	45753	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	99.92	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
38b6a8fb-a0b2-4917-bd6c-b62d11abc155_1_contigs.fa	NODE_50_length_5019_cov_92.897005	1699	2490	resfindernewid_2823	1-792/792	===============	0/0	100.00	100.00	resfinderformatted	002823	resfinderformatted~~~resfindernewid_2823~~~002823
38b6a8fb-a0b2-4917-bd6c-b62d11abc155_1_contigs.fa	NODE_50_length_5019_cov_92.897005	4251	4942	resfindernewid_2463	539-1230/1230	......=========	0/0	56.26	100.00	resfinderformatted	002463	resfinderformatted~~~resfindernewid_2463~~~002463
38b6a8fb-a0b2-4917-bd6c-b62d11abc155_1_contigs.fa	NODE_58_length_2042_cov_85.002545	572	1432	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
38b6a8fb-a0b2-4917-bd6c-b62d11abc155_1_contigs.fa	NODE_71_length_862_cov_140.290446	61	862	resfindernewid_159	171-972/972	..=============	0/0	82.51	99.75	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
