#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_11_length_135866_cov_48.014729	68825	70198	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_12_length_120391_cov_37.878701	10076	13669	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.91	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_12_length_120391_cov_37.878701	13674	14288	cardnewid_954	1-615/615	===============	0/0	100.00	99.84	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_12_length_120391_cov_37.878701	14812	15867	cardnewid_568	1-1056/1056	===============	0/0	100.00	98.58	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_12_length_120391_cov_37.878701	15867	17405	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.66	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_12_length_120391_cov_37.878701	119066	120034	cardnewid_1968	1-969/969	===============	0/0	100.00	98.35	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_13_length_113022_cov_43.834211	58735	59967	cardnewid_1119	1-1233/1233	===============	0/0	100.00	100.00	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_1_length_426990_cov_36.428652	43961	45169	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.51	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_1_length_426990_cov_36.428652	53800	55026	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.29	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_1_length_426990_cov_36.428652	231857	233605	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.86	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_1_length_426990_cov_36.428652	320468	321700	cardnewid_2329	1-1233/1233	===============	0/0	100.00	97.08	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_21_length_83564_cov_48.402134	47945	49078	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.15	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_24_length_71931_cov_40.476884	25219	26523	cardnewid_1960	1-1305/1305	===============	0/0	100.00	96.48	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_25_length_71596_cov_41.210294	44124	47273	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.43	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_25_length_71596_cov_41.210294	47296	48489	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.75	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_26_length_65854_cov_38.170744	2224	3867	cardnewid_2133	1-1644/1644	===============	0/0	100.00	99.03	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_29_length_50942_cov_34.535535	19981	20394	cardnewid_1170	1-414/414	===============	0/0	100.00	100.00	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_2_length_408452_cov_45.190653	5436	8540	cardnewid_1346	1-3105/3105	===============	0/0	100.00	98.68	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_2_length_408452_cov_45.190653	8552	9709	cardnewid_1353	1-1158/1158	===============	0/0	100.00	99.57	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_2_length_408452_cov_45.190653	10108	10770	cardnewid_486	1-663/663	===============	0/0	100.00	99.10	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_2_length_408452_cov_45.190653	215672	216491	cardnewid_1713	1-820/822	===============	0/0	99.76	99.27	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_2_length_408452_cov_45.190653	233642	235129	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.52	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_2_length_408452_cov_45.190653	406275	407074	cardnewid_2295	170-972/972	..======/======	1/3	82.30	99.38	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_2_length_408452_cov_45.190653	407121	407645	cardnewid_1215	1-525/525	===============	0/0	100.00	100.00	cardformatted	001215	cardformatted~~~cardnewid_1215~~~001215
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_2_length_408452_cov_45.190653	407740	408213	cardnewid_1874	1-474/474	===============	0/0	100.00	99.79	cardformatted	001874	cardformatted~~~cardnewid_1874~~~001874
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_30_length_49727_cov_40.384451	1888	3045	cardnewid_2001	1-1158/1158	===============	0/0	100.00	99.05	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_35_length_40754_cov_34.840180	9817	10983	cardnewid_912	1-1167/1167	===============	0/0	100.00	97.51	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_36_length_39871_cov_46.835880	7707	9350	cardnewid_609	1-1644/1644	===============	0/0	100.00	98.78	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_40_length_37220_cov_39.989742	6179	6655	cardnewid_1625	1-477/477	===============	0/0	100.00	97.06	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_40_length_37220_cov_39.989742	28119	31232	cardnewid_1337	1-3114/3114	===============	0/0	100.00	99.20	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_42_length_36051_cov_68.973620	14224	15084	cardnewid_45	1-861/861	===============	0/0	100.00	99.88	cardformatted	000045	cardformatted~~~cardnewid_45~~~000045
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_43_length_35721_cov_33.419622	32262	32594	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_45_length_33229_cov_31.560539	30090	30473	cardnewid_1808	1-384/384	===============	0/0	100.00	99.48	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_47_length_32076_cov_44.903716	3339	4805	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.75	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_47_length_32076_cov_44.903716	4802	6853	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.95	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_47_length_32076_cov_44.903716	6853	7884	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.67	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_48_length_30741_cov_48.378294	7722	8074	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.56	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_4_length_217750_cov_32.847124	197442	197800	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_4_length_217750_cov_32.847124	197792	198116	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_5_length_216832_cov_46.573394	15003	15635	cardnewid_816	1-633/633	===============	0/0	100.00	99.37	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
8c06ac0e-eb4b-4add-bb69-0432022a6bfd_1_contigs.fa	NODE_5_length_216832_cov_46.573394	209752	210909	cardnewid_1790	1-1158/1158	===============	0/0	100.00	99.22	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
