#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
4da9722e-4ff3-4c81-9174-cad586d6b2a6_1_contigs.fa	NODE_14_length_127122_cov_49.145492	99691	100923	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	98.46	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
4da9722e-4ff3-4c81-9174-cad586d6b2a6_1_contigs.fa	NODE_41_length_24238_cov_49.529986	16873	17228	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.07	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
4da9722e-4ff3-4c81-9174-cad586d6b2a6_1_contigs.fa	NODE_49_length_13480_cov_116.463329	4581	5237	resfindernewid_2750	1-657/657	===============	0/0	100.00	100.00	resfinderformatted	002750	resfinderformatted~~~resfindernewid_2750~~~002750
4da9722e-4ff3-4c81-9174-cad586d6b2a6_1_contigs.fa	NODE_49_length_13480_cov_116.463329	10599	11459	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
4da9722e-4ff3-4c81-9174-cad586d6b2a6_1_contigs.fa	NODE_58_length_6378_cov_129.511189	4151	5356	resfindernewid_2892	1-1206/1206	===============	0/0	100.00	100.00	resfinderformatted	002892	resfinderformatted~~~resfindernewid_2892~~~002892
4da9722e-4ff3-4c81-9174-cad586d6b2a6_1_contigs.fa	NODE_59_length_6333_cov_105.056266	4439	5275	resfindernewid_41	1-837/837	===============	0/0	100.00	100.00	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
4da9722e-4ff3-4c81-9174-cad586d6b2a6_1_contigs.fa	NODE_59_length_6333_cov_105.056266	5275	6077	resfindernewid_238	2-804/804	===============	0/0	99.88	100.00	resfinderformatted	000238	resfinderformatted~~~resfindernewid_238~~~000238
4da9722e-4ff3-4c81-9174-cad586d6b2a6_1_contigs.fa	NODE_70_length_3992_cov_88.229630	958	1015	resfindernewid_104	1-58/531	==.............	0/0	10.92	100.00	resfinderformatted	000104	resfinderformatted~~~resfindernewid_104~~~000104
4da9722e-4ff3-4c81-9174-cad586d6b2a6_1_contigs.fa	NODE_70_length_3992_cov_88.229630	1000	1812	resfindernewid_35	7-819/819	===============	0/0	99.27	99.88	resfinderformatted	000035	resfinderformatted~~~resfindernewid_35~~~000035
4da9722e-4ff3-4c81-9174-cad586d6b2a6_1_contigs.fa	NODE_70_length_3992_cov_88.229630	1944	2765	resfindernewid_2495	1-822/822	===============	0/0	100.00	100.00	resfinderformatted	002495	resfinderformatted~~~resfindernewid_2495~~~002495
