#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_10_length_148859_cov_42.300964	3483	4640	cardnewid_2001	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_10_length_148859_cov_42.300964	101603	104752	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.08	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_10_length_148859_cov_42.300964	104775	105968	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.83	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_11_length_137279_cov_41.877626	128568	129240	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_12_length_134675_cov_42.197105	56289	56819	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_12_length_134675_cov_42.197105	56946	58118	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_12_length_134675_cov_42.197105	58135	59673	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.81	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_14_length_124393_cov_42.866703	113860	114522	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_14_length_124393_cov_42.866703	114921	116078	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_14_length_124393_cov_42.866703	116090	119194	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.03	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_16_length_120030_cov_42.206982	70185	71004	cardnewid_1713	1-820/822	===============	0/0	99.76	98.66	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_16_length_120030_cov_42.206982	93363	94850	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.39	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_17_length_116741_cov_41.571839	109638	110795	cardnewid_1790	1-1158/1158	===============	0/0	100.00	99.74	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_17_length_116741_cov_41.571839	110820	113933	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.52	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_17_length_116741_cov_41.571839	114296	115024	cardnewid_2042	1-729/729	===============	0/0	100.00	94.38	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_17_length_116741_cov_41.571839	115392	116216	cardnewid_80	1-825/825	===============	0/0	100.00	97.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_1_length_356110_cov_41.841874	175472	175885	cardnewid_1170	1-414/414	===============	0/0	100.00	99.03	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_1_length_356110_cov_41.841874	326381	327589	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.59	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_1_length_356110_cov_41.841874	336220	337446	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.19	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_24_length_72818_cov_40.420299	20833	21216	cardnewid_1808	1-384/384	===============	0/0	100.00	99.48	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_26_length_71069_cov_42.831192	54702	55835	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.62	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
fc066554-2f5b-49b2-8c8f-c0b53ff55385_1_contigs.fa	NODE_27_length_70032_cov_42.930798	54323	54955	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
