#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_10_length_151597_cov_47.471595	11499	12725	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.43	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_10_length_151597_cov_47.471595	21356	22564	cardnewid_349	1-1209/1209	===============	0/0	100.00	97.93	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_11_length_150695_cov_45.957601	135056	135688	cardnewid_816	1-633/633	===============	0/0	100.00	99.37	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_13_length_123043_cov_46.504351	1639	3282	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.82	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_13_length_123043_cov_46.504351	32911	33942	cardnewid_1350	1-1032/1032	===============	0/0	100.00	100.00	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_13_length_123043_cov_46.504351	33942	35993	cardnewid_1932	1-2052/2052	===============	0/0	100.00	99.12	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_13_length_123043_cov_46.504351	35990	37456	cardnewid_37	1-1467/1467	===============	0/0	100.00	99.93	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_14_length_121602_cov_46.857823	108351	108494	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_14_length_121602_cov_46.857823	112780	113457	cardnewid_2055	1-678/678	===============	0/0	100.00	99.26	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_15_length_99223_cov_45.671384	24623	25153	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_15_length_99223_cov_45.671384	25280	26452	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.12	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_15_length_99223_cov_45.671384	26469	28007	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.35	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_17_length_88123_cov_47.758717	22568	23941	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.03	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_1_length_309974_cov_46.859208	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.07	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_1_length_309974_cov_46.859208	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_1_length_309974_cov_46.859208	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	99.10	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_1_length_309974_cov_46.859208	219343	220164	cardnewid_1713	1-822/822	===============	0/0	100.00	99.88	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_1_length_309974_cov_46.859208	242540	244027	cardnewid_776	1-1488/1488	===============	0/0	100.00	99.73	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_25_length_68443_cov_48.999649	20213	20596	cardnewid_1808	1-384/384	===============	0/0	100.00	99.22	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_28_length_57438_cov_48.696397	37259	38506	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.20	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
593680cd-7c62-4a69-8bda-6cf788c3da68_1_contigs.fa	NODE_28_length_57438_cov_48.696397	38506	41628	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.93	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
