#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_11_length_151643_cov_21.361611	15085	15717	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_12_length_149600_cov_19.337226	84655	86193	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.99	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_12_length_149600_cov_19.337226	86210	87382	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.95	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_12_length_149600_cov_19.337226	87509	88039	cardnewid_1248	1-531/531	===============	0/0	100.00	99.44	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_13_length_145741_cov_20.424573	27052	28695	cardnewid_609	1-1644/1644	===============	0/0	100.00	98.18	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_13_length_145741_cov_20.424573	51363	52394	cardnewid_1350	1-1032/1032	===============	0/0	100.00	96.41	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_13_length_145741_cov_20.424573	52394	54445	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.35	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_13_length_145741_cov_20.424573	54442	55908	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.48	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_14_length_124091_cov_17.558405	31803	35396	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.83	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_14_length_124091_cov_17.558405	35401	36015	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_14_length_124091_cov_17.558405	36539	37594	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.82	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_14_length_124091_cov_17.558405	37594	39132	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.47	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_15_length_92540_cov_21.922629	68597	69970	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.62	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_17_length_86536_cov_20.934200	36686	37819	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.71	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_18_length_85252_cov_16.700417	24717	25438	cardnewid_1255	1-722/723	===============	0/0	99.86	98.06	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_18_length_85252_cov_16.700417	25435	26838	cardnewid_929	1-1404/1404	===============	0/0	100.00	96.37	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_18_length_85252_cov_16.700417	28251	31328	cardnewid_1236	1-3078/3078	===============	0/0	100.00	97.14	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_18_length_85252_cov_16.700417	31329	34451	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.73	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_18_length_85252_cov_16.700417	34451	35698	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.44	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_1_length_517794_cov_15.892667	1840	3248	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.34	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_1_length_517794_cov_15.892667	416372	416730	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_1_length_517794_cov_15.892667	416722	417046	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_1_length_517794_cov_15.892667	455214	455597	cardnewid_1808	1-384/384	===============	0/0	100.00	99.48	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_25_length_57217_cov_17.106773	48727	49404	cardnewid_2055	1-678/678	===============	0/0	100.00	95.43	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_26_length_57149_cov_17.019782	22571	22984	cardnewid_1170	1-414/414	===============	0/0	100.00	99.52	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_27_length_56590_cov_22.380001	49580	50737	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_27_length_56590_cov_22.380001	50762	53875	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.49	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_27_length_56590_cov_22.380001	54238	54966	cardnewid_2042	1-729/729	===============	0/0	100.00	95.61	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_27_length_56590_cov_22.380001	55335	56159	cardnewid_80	1-825/825	===============	0/0	100.00	94.30	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_2_length_358588_cov_19.567570	236456	237688	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.19	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_35_length_34565_cov_16.832405	20294	22042	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.97	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_37_length_30888_cov_21.270650	7846	8198	cardnewid_2328	2980-3332/3489	......../...===	6/10	9.97	75.70	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_3_length_326145_cov_20.470006	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	97.75	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_3_length_326145_cov_20.470006	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.36	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_3_length_326145_cov_20.470006	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	98.94	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_3_length_326145_cov_20.470006	209058	209877	cardnewid_1713	1-820/822	===============	0/0	99.76	96.22	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_3_length_326145_cov_20.470006	230622	232109	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.52	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_42_length_25688_cov_31.691422	24530	25390	cardnewid_45	1-861/861	===============	0/0	100.00	99.88	cardformatted	000045	cardformatted~~~cardnewid_45~~~000045
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_43_length_25154_cov_17.340272	2908	4074	cardnewid_912	1-1167/1167	===============	0/0	100.00	97.34	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_4_length_325166_cov_17.615062	14961	15929	cardnewid_1968	1-969/969	===============	0/0	100.00	98.14	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_4_length_325166_cov_17.615062	77425	79068	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.51	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_4_length_325166_cov_17.615062	210148	213297	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.05	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_4_length_325166_cov_17.615062	213320	214513	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.25	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_6_length_206883_cov_18.275268	24637	25794	cardnewid_2001	1-1158/1158	===============	0/0	100.00	96.89	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_7_length_196062_cov_17.848616	113529	114003	cardnewid_1625	3-477/477	===============	0/0	99.58	96.63	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_7_length_196062_cov_17.848616	134710	137823	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.78	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_7_length_196062_cov_17.848616	169144	170448	cardnewid_1960	1-1305/1305	===============	0/0	100.00	96.02	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
1814fdad-6c51-4681-9a5d-a6577a3338ab_1_contigs.fa	NODE_8_length_171276_cov_16.764181	62722	63954	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.59	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
