#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
d50ef199-9cab-4512-8b1e-dee14c1cc714_1_contigs.fa	NODE_26_length_67450_cov_85.803438	55396	56642	resfindernewid_2879	1-1247/1275	===============	0/0	97.80	99.92	resfinderformatted	002879	resfinderformatted~~~resfindernewid_2879~~~002879
d50ef199-9cab-4512-8b1e-dee14c1cc714_1_contigs.fa	NODE_26_length_67450_cov_85.803438	58060	58920	resfindernewid_1273	1-861/861	===============	0/0	100.00	99.88	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
d50ef199-9cab-4512-8b1e-dee14c1cc714_1_contigs.fa	NODE_26_length_67450_cov_85.803438	64282	64938	resfindernewid_2750	1-657/657	===============	0/0	100.00	99.85	resfinderformatted	002750	resfinderformatted~~~resfindernewid_2750~~~002750
d50ef199-9cab-4512-8b1e-dee14c1cc714_1_contigs.fa	NODE_2_length_308343_cov_58.003643	16951	17306	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.07	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
d50ef199-9cab-4512-8b1e-dee14c1cc714_1_contigs.fa	NODE_35_length_40157_cov_58.702545	76	380	resfindernewid_2564	929-1233/1233	...........====	0/0	24.74	98.69	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
d50ef199-9cab-4512-8b1e-dee14c1cc714_1_contigs.fa	NODE_43_length_27219_cov_55.978078	26206	27143	resfindernewid_2564	1-938/1233	============...	0/0	76.07	98.40	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
d50ef199-9cab-4512-8b1e-dee14c1cc714_1_contigs.fa	NODE_60_length_8619_cov_90.247249	1	77	resfindernewid_159	97-173/972	.==............	0/0	7.92	100.00	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
d50ef199-9cab-4512-8b1e-dee14c1cc714_1_contigs.fa	NODE_60_length_8619_cov_90.247249	1907	3166	resfindernewid_2627	1-1260/1260	===============	0/0	100.00	99.92	resfinderformatted	002627	resfinderformatted~~~resfindernewid_2627~~~002627
d50ef199-9cab-4512-8b1e-dee14c1cc714_1_contigs.fa	NODE_60_length_8619_cov_90.247249	3249	4050	resfindernewid_159	171-972/972	..=============	0/0	82.51	99.75	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
d50ef199-9cab-4512-8b1e-dee14c1cc714_1_contigs.fa	NODE_60_length_8619_cov_90.247249	5732	6523	resfindernewid_2823	1-792/792	===============	0/0	100.00	100.00	resfinderformatted	002823	resfinderformatted~~~resfindernewid_2823~~~002823
d50ef199-9cab-4512-8b1e-dee14c1cc714_1_contigs.fa	NODE_60_length_8619_cov_90.247249	8284	8546	resfindernewid_2463	968-1230/1230	...........====	0/0	21.38	99.62	resfinderformatted	002463	resfinderformatted~~~resfindernewid_2463~~~002463
d50ef199-9cab-4512-8b1e-dee14c1cc714_1_contigs.fa	NODE_82_length_1352_cov_146.501961	1190	1352	resfindernewid_159	1-173/972	===...../......	3/10	16.77	94.22	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
d50ef199-9cab-4512-8b1e-dee14c1cc714_1_contigs.fa	NODE_95_length_863_cov_97.311705	295	768	resfindernewid_3046	1-474/474	===============	0/0	100.00	100.00	resfinderformatted	003046	resfinderformatted~~~resfindernewid_3046~~~003046
d50ef199-9cab-4512-8b1e-dee14c1cc714_1_contigs.fa	NODE_95_length_863_cov_97.311705	785	863	resfindernewid_159	97-175/972	.==............	0/0	8.13	100.00	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
