#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
33a208b2-62aa-46b2-873e-d013f5bae79d_1_contigs.fa	NODE_10_length_170751_cov_50.679488	85500	86657	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.06	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
33a208b2-62aa-46b2-873e-d013f5bae79d_1_contigs.fa	NODE_11_length_167168_cov_48.368302	43316	45064	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.06	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
33a208b2-62aa-46b2-873e-d013f5bae79d_1_contigs.fa	NODE_12_length_165118_cov_48.098988	99711	100943	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.27	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
33a208b2-62aa-46b2-873e-d013f5bae79d_1_contigs.fa	NODE_14_length_144156_cov_52.760846	14931	16064	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.80	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
33a208b2-62aa-46b2-873e-d013f5bae79d_1_contigs.fa	NODE_15_length_137120_cov_47.107054	107488	108696	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.35	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
33a208b2-62aa-46b2-873e-d013f5bae79d_1_contigs.fa	NODE_15_length_137120_cov_47.107054	117325	118551	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.37	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
33a208b2-62aa-46b2-873e-d013f5bae79d_1_contigs.fa	NODE_16_length_135030_cov_47.764318	105886	106218	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
33a208b2-62aa-46b2-873e-d013f5bae79d_1_contigs.fa	NODE_17_length_124098_cov_54.879238	66813	68180	cardnewid_137	1-1368/1374	===============	0/0	99.56	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
33a208b2-62aa-46b2-873e-d013f5bae79d_1_contigs.fa	NODE_18_length_119350_cov_54.321079	95206	96066	cardnewid_45	1-861/861	===============	0/0	100.00	99.88	cardformatted	000045	cardformatted~~~cardnewid_45~~~000045
33a208b2-62aa-46b2-873e-d013f5bae79d_1_contigs.fa	NODE_18_length_119350_cov_54.321079	101006	101866	cardnewid_2060	1-861/861	===============	0/0	100.00	99.88	cardformatted	002060	cardformatted~~~cardnewid_2060~~~002060
33a208b2-62aa-46b2-873e-d013f5bae79d_1_contigs.fa	NODE_18_length_119350_cov_54.321079	102858	103763	cardnewid_1165	1-906/906	===============	0/0	100.00	100.00	cardformatted	001165	cardformatted~~~cardnewid_1165~~~001165
33a208b2-62aa-46b2-873e-d013f5bae79d_1_contigs.fa	NODE_18_length_119350_cov_54.321079	109341	110180	cardnewid_1001	1-840/840	===============	0/0	100.00	100.00	cardformatted	001001	cardformatted~~~cardnewid_1001~~~001001
33a208b2-62aa-46b2-873e-d013f5bae79d_1_contigs.fa	NODE_18_length_119350_cov_54.321079	110685	111464	cardnewid_1151	1-780/780	===============	0/0	100.00	99.87	cardformatted	001151	cardformatted~~~cardnewid_1151~~~001151
33a208b2-62aa-46b2-873e-d013f5bae79d_1_contigs.fa	NODE_18_length_119350_cov_54.321079	111884	112381	cardnewid_1070	1-498/498	===============	0/0	100.00	100.00	cardformatted	001070	cardformatted~~~cardnewid_1070~~~001070
33a208b2-62aa-46b2-873e-d013f5bae79d_1_contigs.fa	NODE_18_length_119350_cov_54.321079	112382	112596	cardnewid_1952	1-215/786	=====..........	0/0	27.35	99.53	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
33a208b2-62aa-46b2-873e-d013f5bae79d_1_contigs.fa	NODE_18_length_119350_cov_54.321079	118392	119051	cardnewid_716	1-660/660	===============	0/0	100.00	99.85	cardformatted	000716	cardformatted~~~cardnewid_716~~~000716
