#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
252b72df-4d0a-4680-82f1-645e1b868c5a_1_contigs.fa	NODE_12_length_119673_cov_65.723319	111171	111843	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
252b72df-4d0a-4680-82f1-645e1b868c5a_1_contigs.fa	NODE_13_length_112974_cov_67.504832	35679	36209	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
252b72df-4d0a-4680-82f1-645e1b868c5a_1_contigs.fa	NODE_13_length_112974_cov_67.504832	36336	37508	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.53	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
252b72df-4d0a-4680-82f1-645e1b868c5a_1_contigs.fa	NODE_13_length_112974_cov_67.504832	37525	39063	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.87	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
252b72df-4d0a-4680-82f1-645e1b868c5a_1_contigs.fa	NODE_14_length_106926_cov_64.960655	9447	10679	cardnewid_2329	1-1233/1233	===============	0/0	100.00	97.24	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
252b72df-4d0a-4680-82f1-645e1b868c5a_1_contigs.fa	NODE_14_length_106926_cov_64.960655	92497	94245	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.37	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
252b72df-4d0a-4680-82f1-645e1b868c5a_1_contigs.fa	NODE_18_length_86370_cov_72.580221	62493	63866	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.76	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
252b72df-4d0a-4680-82f1-645e1b868c5a_1_contigs.fa	NODE_19_length_83042_cov_63.597987	81060	81473	cardnewid_1170	1-414/414	===============	0/0	100.00	99.52	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
252b72df-4d0a-4680-82f1-645e1b868c5a_1_contigs.fa	NODE_1_length_686820_cov_72.681511	65251	66483	cardnewid_1119	1-1233/1233	===============	0/0	100.00	100.00	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
252b72df-4d0a-4680-82f1-645e1b868c5a_1_contigs.fa	NODE_1_length_686820_cov_72.681511	477211	478677	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.23	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
252b72df-4d0a-4680-82f1-645e1b868c5a_1_contigs.fa	NODE_1_length_686820_cov_72.681511	478674	480725	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.39	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
252b72df-4d0a-4680-82f1-645e1b868c5a_1_contigs.fa	NODE_1_length_686820_cov_72.681511	480725	481756	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.97	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
252b72df-4d0a-4680-82f1-645e1b868c5a_1_contigs.fa	NODE_1_length_686820_cov_72.681511	511156	512799	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.27	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
