#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
9ff61dbd-b35d-4e6d-a7fb-6712fe4b0e73_1_contigs.fa	NODE_11_length_134450_cov_37.709540	125834	126506	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
9ff61dbd-b35d-4e6d-a7fb-6712fe4b0e73_1_contigs.fa	NODE_12_length_130989_cov_38.823217	15078	15710	cardnewid_816	1-633/633	===============	0/0	100.00	99.53	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
9ff61dbd-b35d-4e6d-a7fb-6712fe4b0e73_1_contigs.fa	NODE_13_length_112362_cov_38.562061	37980	38393	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
9ff61dbd-b35d-4e6d-a7fb-6712fe4b0e73_1_contigs.fa	NODE_14_length_111748_cov_40.126138	34801	36033	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.11	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
9ff61dbd-b35d-4e6d-a7fb-6712fe4b0e73_1_contigs.fa	NODE_15_length_111451_cov_39.828102	100918	101580	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
9ff61dbd-b35d-4e6d-a7fb-6712fe4b0e73_1_contigs.fa	NODE_15_length_111451_cov_39.828102	101979	103136	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
9ff61dbd-b35d-4e6d-a7fb-6712fe4b0e73_1_contigs.fa	NODE_15_length_111451_cov_39.828102	103148	106252	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.03	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
9ff61dbd-b35d-4e6d-a7fb-6712fe4b0e73_1_contigs.fa	NODE_17_length_108984_cov_38.918178	29908	30438	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
9ff61dbd-b35d-4e6d-a7fb-6712fe4b0e73_1_contigs.fa	NODE_17_length_108984_cov_38.918178	30565	31737	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.29	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
9ff61dbd-b35d-4e6d-a7fb-6712fe4b0e73_1_contigs.fa	NODE_17_length_108984_cov_38.918178	31754	33292	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.87	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
9ff61dbd-b35d-4e6d-a7fb-6712fe4b0e73_1_contigs.fa	NODE_18_length_103551_cov_38.202515	16137	17885	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.26	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
9ff61dbd-b35d-4e6d-a7fb-6712fe4b0e73_1_contigs.fa	NODE_19_length_102861_cov_38.538148	18294	19520	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.19	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
9ff61dbd-b35d-4e6d-a7fb-6712fe4b0e73_1_contigs.fa	NODE_19_length_102861_cov_38.538148	28151	29359	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.43	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
9ff61dbd-b35d-4e6d-a7fb-6712fe4b0e73_1_contigs.fa	NODE_1_length_378224_cov_38.538835	31848	35441	cardnewid_1238	1-3594/3594	===============	0/0	100.00	98.89	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
9ff61dbd-b35d-4e6d-a7fb-6712fe4b0e73_1_contigs.fa	NODE_1_length_378224_cov_38.538835	35446	36060	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
