#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
eb78e5bf-75ef-4a37-ac70-6596bbd86427_1_contigs.fa	NODE_10_length_202913_cov_47.237290	53969	54641	cardnewid_2055	1-673/678	===============	0/0	99.26	95.54	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
eb78e5bf-75ef-4a37-ac70-6596bbd86427_1_contigs.fa	NODE_11_length_191390_cov_48.862644	140636	142174	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.44	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
eb78e5bf-75ef-4a37-ac70-6596bbd86427_1_contigs.fa	NODE_11_length_191390_cov_48.862644	142191	143363	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.95	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
eb78e5bf-75ef-4a37-ac70-6596bbd86427_1_contigs.fa	NODE_11_length_191390_cov_48.862644	143490	144020	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
eb78e5bf-75ef-4a37-ac70-6596bbd86427_1_contigs.fa	NODE_12_length_190962_cov_49.432915	441	1265	cardnewid_80	1-825/825	===============	0/0	100.00	93.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
eb78e5bf-75ef-4a37-ac70-6596bbd86427_1_contigs.fa	NODE_12_length_190962_cov_49.432915	1634	2362	cardnewid_2042	1-729/729	===============	0/0	100.00	100.00	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
eb78e5bf-75ef-4a37-ac70-6596bbd86427_1_contigs.fa	NODE_12_length_190962_cov_49.432915	2725	5838	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.30	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
eb78e5bf-75ef-4a37-ac70-6596bbd86427_1_contigs.fa	NODE_12_length_190962_cov_49.432915	5863	7020	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.53	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
eb78e5bf-75ef-4a37-ac70-6596bbd86427_1_contigs.fa	NODE_12_length_190962_cov_49.432915	175329	175961	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
eb78e5bf-75ef-4a37-ac70-6596bbd86427_1_contigs.fa	NODE_14_length_124098_cov_49.835359	55919	57286	cardnewid_137	1-1368/1374	===============	0/0	99.56	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
