#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_10_length_137376_cov_50.062790	26182	27414	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.92	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_11_length_135132_cov_50.168813	7843	8515	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_12_length_133398_cov_49.790461	6555	8303	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.03	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_13_length_124406_cov_55.095883	118617	119750	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.53	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_14_length_114885_cov_53.708722	70890	71711	cardnewid_1713	1-822/822	===============	0/0	100.00	100.00	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_14_length_114885_cov_53.708722	94087	95574	cardnewid_776	1-1488/1488	===============	0/0	100.00	99.73	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_16_length_111574_cov_56.023579	100874	101536	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_16_length_111574_cov_56.023579	101935	103092	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.88	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_16_length_111574_cov_56.023579	103104	106208	cardnewid_1346	1-3105/3105	===============	0/0	100.00	98.84	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_17_length_106481_cov_51.462407	17683	18159	cardnewid_1625	1-477/477	===============	0/0	100.00	98.11	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_17_length_106481_cov_51.462407	39407	42520	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.94	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_17_length_106481_cov_51.462407	83571	84875	cardnewid_1960	1-1305/1305	===============	0/0	100.00	98.16	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_18_length_106280_cov_55.016346	60293	61525	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.11	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_19_length_103475_cov_49.080388	18661	19887	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.51	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_19_length_103475_cov_49.080388	28518	29726	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.51	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_1_length_278357_cov_47.104136	33540	33923	cardnewid_1808	1-384/384	===============	0/0	100.00	99.48	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_1_length_278357_cov_47.104136	72179	72503	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_1_length_278357_cov_47.104136	72495	72853	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_20_length_103061_cov_47.989358	20266	21432	cardnewid_912	1-1167/1167	===============	0/0	100.00	96.49	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_20_length_103061_cov_47.989358	70731	71978	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.16	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_20_length_103061_cov_47.989358	71978	75100	cardnewid_772	1-3123/3123	===============	0/0	100.00	98.75	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_20_length_103061_cov_47.989358	75101	78178	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.51	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_20_length_103061_cov_47.989358	79591	80994	cardnewid_929	1-1404/1404	===============	0/0	100.00	99.93	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_20_length_103061_cov_47.989358	80991	81713	cardnewid_1255	1-723/723	===============	0/0	100.00	97.93	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_23_length_87909_cov_55.667934	22486	23859	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.62	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_29_length_68194_cov_47.963122	65306	65638	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_2_length_277995_cov_50.167805	128844	130487	cardnewid_2133	1-1644/1644	===============	0/0	100.00	99.21	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_2_length_277995_cov_50.167805	177584	178552	cardnewid_1968	1-969/969	===============	0/0	100.00	99.59	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_32_length_55231_cov_51.519799	23515	24045	cardnewid_1248	1-531/531	===============	0/0	100.00	99.62	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_32_length_55231_cov_51.519799	24172	25344	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.55	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_32_length_55231_cov_51.519799	25361	26899	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.87	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_34_length_49745_cov_50.446001	10728	12266	cardnewid_501	1-1539/1539	===============	0/0	100.00	98.83	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_34_length_49745_cov_50.446001	12266	13321	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.72	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_34_length_49745_cov_50.446001	13845	14459	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_34_length_49745_cov_50.446001	14464	18057	cardnewid_1238	1-3594/3594	===============	0/0	100.00	99.44	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_3_length_211182_cov_56.966723	39587	40386	cardnewid_2295	170-972/972	..======/======	1/3	82.30	99.38	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_3_length_211182_cov_56.966723	40433	40957	cardnewid_1215	1-525/525	===============	0/0	100.00	100.00	cardformatted	001215	cardformatted~~~cardnewid_1215~~~001215
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_3_length_211182_cov_56.966723	41052	41525	cardnewid_1874	1-474/474	===============	0/0	100.00	99.79	cardformatted	001874	cardformatted~~~cardnewid_1874~~~001874
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_3_length_211182_cov_56.966723	136250	137496	cardnewid_1828	1-1247/1275	===============	0/0	97.80	100.00	cardformatted	001828	cardformatted~~~cardnewid_1828~~~001828
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_42_length_31024_cov_58.287168	22827	23179	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.56	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_53_length_15630_cov_50.766990	6377	7785	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.05	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_5_length_202085_cov_48.181770	77444	77857	cardnewid_1170	1-414/414	===============	0/0	100.00	99.03	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_6_length_192975_cov_54.177332	15078	15710	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_6_length_192975_cov_54.177332	185872	187029	cardnewid_1790	1-1158/1158	===============	0/0	100.00	99.65	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_6_length_192975_cov_54.177332	187054	190167	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.55	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_6_length_192975_cov_54.177332	190530	191258	cardnewid_2042	1-729/729	===============	0/0	100.00	94.38	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba_1_contigs.fa	NODE_6_length_192975_cov_54.177332	191626	192450	cardnewid_80	1-825/825	===============	0/0	100.00	97.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
