#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
9197a45e-6d51-4b58-bb06-7a314334be8b_1_contigs.fa	NODE_10_length_170535_cov_19.418989	31290	31820	cardnewid_1248	1-531/531	===============	0/0	100.00	99.44	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
9197a45e-6d51-4b58-bb06-7a314334be8b_1_contigs.fa	NODE_10_length_170535_cov_19.418989	31947	33119	cardnewid_1650	1-1173/1173	===============	0/0	100.00	96.59	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
9197a45e-6d51-4b58-bb06-7a314334be8b_1_contigs.fa	NODE_10_length_170535_cov_19.418989	33136	34674	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.53	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
9197a45e-6d51-4b58-bb06-7a314334be8b_1_contigs.fa	NODE_11_length_162858_cov_21.298235	45273	46505	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.43	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
9197a45e-6d51-4b58-bb06-7a314334be8b_1_contigs.fa	NODE_12_length_155328_cov_18.434187	72956	73430	cardnewid_1625	3-477/477	===============	0/0	99.58	96.84	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
9197a45e-6d51-4b58-bb06-7a314334be8b_1_contigs.fa	NODE_12_length_155328_cov_18.434187	94137	97250	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.81	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
9197a45e-6d51-4b58-bb06-7a314334be8b_1_contigs.fa	NODE_12_length_155328_cov_18.434187	128425	129729	cardnewid_1960	1-1305/1305	===============	0/0	100.00	96.48	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
9197a45e-6d51-4b58-bb06-7a314334be8b_1_contigs.fa	NODE_13_length_153519_cov_18.408721	57176	57851	cardnewid_2055	1-676/678	===============	0/0	99.71	95.71	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
9197a45e-6d51-4b58-bb06-7a314334be8b_1_contigs.fa	NODE_16_length_129755_cov_21.326740	63892	65265	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
9197a45e-6d51-4b58-bb06-7a314334be8b_1_contigs.fa	NODE_1_length_938790_cov_17.878171	62235	62618	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
9197a45e-6d51-4b58-bb06-7a314334be8b_1_contigs.fa	NODE_1_length_938790_cov_17.878171	100787	101111	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
9197a45e-6d51-4b58-bb06-7a314334be8b_1_contigs.fa	NODE_1_length_938790_cov_17.878171	101103	101461	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
9197a45e-6d51-4b58-bb06-7a314334be8b_1_contigs.fa	NODE_1_length_938790_cov_17.878171	442096	442428	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
9197a45e-6d51-4b58-bb06-7a314334be8b_1_contigs.fa	NODE_1_length_938790_cov_17.878171	538236	539402	cardnewid_912	1-1167/1167	========/======	6/12	99.49	84.14	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
9197a45e-6d51-4b58-bb06-7a314334be8b_1_contigs.fa	NODE_1_length_938790_cov_17.878171	594506	595753	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.12	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
