#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_10_length_222415_cov_53.902761	131649	132806	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.15	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_10_length_222415_cov_53.902761	217565	220714	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.89	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_10_length_222415_cov_53.902761	220737	221930	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.08	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_11_length_194628_cov_59.918613	15002	15634	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_11_length_194628_cov_59.918613	187609	188766	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.45	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_11_length_194628_cov_59.918613	188791	191904	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.37	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_11_length_194628_cov_59.918613	192267	192995	cardnewid_2042	1-729/729	===============	0/0	100.00	99.73	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_11_length_194628_cov_59.918613	193364	194188	cardnewid_80	1-825/825	===============	0/0	100.00	93.82	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_12_length_193795_cov_49.376821	139491	139849	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_12_length_193795_cov_49.376821	139841	140165	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_12_length_193795_cov_49.376821	164188	164571	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_13_length_187839_cov_51.945836	128681	131794	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.49	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_13_length_187839_cov_51.945836	163027	163109	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_14_length_134856_cov_82.627123	24632	24780	cardnewid_458	1592-1740/1935	............==.	0/0	7.70	75.84	cardformatted	000458	cardformatted~~~cardnewid_458~~~000458
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_15_length_133716_cov_62.888625	65864	67237	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_17_length_92240_cov_49.681651	659	1906	cardnewid_360	1-1248/1248	===============	0/0	100.00	96.07	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_17_length_92240_cov_49.681651	1906	5028	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.83	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_17_length_92240_cov_49.681651	5029	8106	cardnewid_1236	1-3078/3078	===============	0/0	100.00	93.99	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_17_length_92240_cov_49.681651	9519	10922	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.81	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_17_length_92240_cov_49.681651	10919	11640	cardnewid_1255	1-722/723	===============	0/0	99.86	97.23	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_19_length_41200_cov_64.710770	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.97	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_19_length_41200_cov_64.710770	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.36	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_19_length_41200_cov_64.710770	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	97.44	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_1_length_706115_cov_56.936699	47214	47744	cardnewid_1248	1-531/531	===============	0/0	100.00	98.31	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_1_length_706115_cov_56.936699	47871	49043	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.04	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_1_length_706115_cov_56.936699	49060	50598	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.31	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_1_length_706115_cov_56.936699	507703	509190	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.39	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_1_length_706115_cov_56.936699	534873	535692	cardnewid_1713	1-820/822	===============	0/0	99.76	98.54	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_23_length_29885_cov_61.487386	21809	22161	cardnewid_2328	2980-3332/3489	......../...===	6/10	9.97	75.98	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_2_length_437972_cov_59.672584	233063	234196	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.88	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_2_length_437972_cov_59.672584	290101	291744	cardnewid_609	1-1644/1644	===============	0/0	100.00	92.40	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_2_length_437972_cov_59.672584	320927	321958	cardnewid_1350	1-1032/1032	===============	0/0	100.00	96.12	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
bd3e1f54-2114-44cd-84ea-7f5dbb1ebdf7_1_contigs.fa	NODE_2_length_437972_cov_59.672584	321958	324009	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.08	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
