#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
f2cda67e-528f-4c0f-893e-2816bb8e51dd_1_contigs.fa	NODE_10_length_191093_cov_47.117472	140495	142033	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.44	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
f2cda67e-528f-4c0f-893e-2816bb8e51dd_1_contigs.fa	NODE_10_length_191093_cov_47.117472	142050	143222	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.04	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
f2cda67e-528f-4c0f-893e-2816bb8e51dd_1_contigs.fa	NODE_10_length_191093_cov_47.117472	143349	143879	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
f2cda67e-528f-4c0f-893e-2816bb8e51dd_1_contigs.fa	NODE_11_length_190987_cov_50.993672	15002	15634	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
f2cda67e-528f-4c0f-893e-2816bb8e51dd_1_contigs.fa	NODE_11_length_190987_cov_50.993672	183966	185123	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.27	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
f2cda67e-528f-4c0f-893e-2816bb8e51dd_1_contigs.fa	NODE_11_length_190987_cov_50.993672	185148	188261	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.08	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
f2cda67e-528f-4c0f-893e-2816bb8e51dd_1_contigs.fa	NODE_11_length_190987_cov_50.993672	188624	189352	cardnewid_2042	1-729/729	===============	0/0	100.00	99.86	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
f2cda67e-528f-4c0f-893e-2816bb8e51dd_1_contigs.fa	NODE_11_length_190987_cov_50.993672	189721	190545	cardnewid_80	1-825/825	===============	0/0	100.00	93.70	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
f2cda67e-528f-4c0f-893e-2816bb8e51dd_1_contigs.fa	NODE_14_length_137646_cov_53.910707	69771	71144	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
f2cda67e-528f-4c0f-893e-2816bb8e51dd_1_contigs.fa	NODE_1_length_451199_cov_41.087954	65780	66112	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
f2cda67e-528f-4c0f-893e-2816bb8e51dd_1_contigs.fa	NODE_1_length_451199_cov_41.087954	390951	391309	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
f2cda67e-528f-4c0f-893e-2816bb8e51dd_1_contigs.fa	NODE_1_length_451199_cov_41.087954	391301	391625	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
f2cda67e-528f-4c0f-893e-2816bb8e51dd_1_contigs.fa	NODE_1_length_451199_cov_41.087954	422190	422573	cardnewid_1808	1-384/384	===============	0/0	100.00	98.96	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
f2cda67e-528f-4c0f-893e-2816bb8e51dd_1_contigs.fa	NODE_21_length_31252_cov_45.205742	24057	25465	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.19	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
f2cda67e-528f-4c0f-893e-2816bb8e51dd_1_contigs.fa	NODE_22_length_29819_cov_51.859290	7725	8077	cardnewid_2328	2980-3332/3489	......../...===	6/10	9.97	75.98	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
f2cda67e-528f-4c0f-893e-2816bb8e51dd_1_contigs.fa	NODE_2_length_441958_cov_45.506408	53996	54668	cardnewid_2055	1-673/678	===============	0/0	99.26	95.54	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
f2cda67e-528f-4c0f-893e-2816bb8e51dd_1_contigs.fa	NODE_2_length_441958_cov_45.506408	277931	279124	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.08	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
f2cda67e-528f-4c0f-893e-2816bb8e51dd_1_contigs.fa	NODE_2_length_441958_cov_45.506408	279147	282296	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.76	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
