#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_10_length_215914_cov_64.592429	207122	208609	cardnewid_776	1-1488/1488	===============	0/0	100.00	99.73	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_11_length_213902_cov_62.879897	24726	25256	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_11_length_213902_cov_62.879897	25383	26555	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.53	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_11_length_213902_cov_62.879897	26572	28110	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.87	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_12_length_188743_cov_66.373220	454	1278	cardnewid_80	1-825/825	===============	0/0	100.00	97.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_12_length_188743_cov_66.373220	1646	2374	cardnewid_2042	1-729/729	===============	0/0	100.00	94.38	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_12_length_188743_cov_66.373220	2737	5850	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.49	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_12_length_188743_cov_66.373220	5875	7032	cardnewid_1790	1-1158/1158	===============	0/0	100.00	99.65	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_12_length_188743_cov_66.373220	173109	173741	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_13_length_169636_cov_64.592631	75793	76986	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.75	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_13_length_169636_cov_64.592631	77009	80158	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.05	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_13_length_169636_cov_64.592631	165021	166178	cardnewid_2001	1-1158/1158	===============	0/0	100.00	99.40	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_14_length_142776_cov_63.749340	7843	8515	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_15_length_106977_cov_60.078438	77249	78457	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.51	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_15_length_106977_cov_60.078438	87088	88314	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.27	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_18_length_89555_cov_68.782416	62495	63868	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.62	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_1_length_445046_cov_61.783940	37145	38311	cardnewid_912	1-1167/1167	===============	0/0	100.00	95.80	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_1_length_445046_cov_61.783940	93836	95083	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.16	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_1_length_445046_cov_61.783940	95083	98205	cardnewid_772	1-3123/3123	===============	0/0	100.00	99.78	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_1_length_445046_cov_61.783940	98206	101283	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.54	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_1_length_445046_cov_61.783940	102696	104099	cardnewid_929	1-1404/1404	===============	0/0	100.00	98.08	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_1_length_445046_cov_61.783940	104096	104818	cardnewid_1255	1-723/723	===============	0/0	100.00	99.45	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_1_length_445046_cov_61.783940	244140	245783	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.11	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_1_length_445046_cov_61.783940	301895	302863	cardnewid_1968	1-969/969	===============	0/0	100.00	99.59	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_1_length_445046_cov_61.783940	406030	407568	cardnewid_501	1-1539/1539	===============	0/0	100.00	99.68	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_1_length_445046_cov_61.783940	407568	408623	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.72	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_1_length_445046_cov_61.783940	409147	409761	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_1_length_445046_cov_61.783940	409766	413359	cardnewid_1238	1-3594/3594	===============	0/0	100.00	99.47	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_20_length_73749_cov_63.420214	3259	4491	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.76	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_21_length_56514_cov_58.673707	23599	23982	cardnewid_1808	1-384/384	===============	0/0	100.00	99.48	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_2_length_443666_cov_59.975581	7846	9254	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.05	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_2_length_443666_cov_59.975581	79308	79640	cardnewid_2240	1-333/333	===============	0/0	100.00	91.89	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_2_length_443666_cov_59.975581	408195	408553	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.56	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_2_length_443666_cov_59.975581	408545	408869	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_32_length_31015_cov_69.983839	22818	23170	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.56	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_3_length_320516_cov_62.541273	125170	126918	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.37	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_3_length_320516_cov_62.541273	240833	242065	cardnewid_2329	1-1233/1233	===============	0/0	100.00	97.24	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_44_length_10827_cov_130.944558	1554	2800	cardnewid_1828	1-1247/1275	===============	0/0	97.80	100.00	cardformatted	001828	cardformatted~~~cardnewid_1828~~~001828
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_5_length_269745_cov_59.786185	73993	74406	cardnewid_1170	1-414/414	===============	0/0	100.00	99.52	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_6_length_256931_cov_64.922676	47720	49186	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.23	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_6_length_256931_cov_64.922676	49183	51234	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.39	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_6_length_256931_cov_64.922676	51234	52265	cardnewid_1350	1-1032/1032	===============	0/0	100.00	98.06	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_6_length_256931_cov_64.922676	81621	83264	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.33	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_6_length_256931_cov_64.922676	125476	126609	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.53	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_8_length_235950_cov_65.629640	15228	16049	cardnewid_1713	1-822/822	===============	0/0	100.00	100.00	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_8_length_235950_cov_65.629640	225013	225675	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_8_length_235950_cov_65.629640	226074	227231	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.96	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_8_length_235950_cov_65.629640	227243	230347	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.10	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_9_length_234464_cov_71.274670	25756	27060	cardnewid_1960	1-1305/1305	===============	0/0	100.00	98.62	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_9_length_234464_cov_71.274670	58192	61305	cardnewid_1337	1-3114/3114	===============	0/0	100.00	99.07	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
7e482688-a643-41e4-8ee3-47c4178a0e00_1_contigs.fa	NODE_9_length_234464_cov_71.274670	82542	83016	cardnewid_1625	3-477/477	===============	0/0	99.58	97.47	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
