#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
13abce94-ed36-4549-ad14-9ccb136262a7_1_contigs.fa	NODE_109_length_743_cov_259.324324	534	743	cardnewid_1952	1-210/786	=====..........	0/0	26.72	100.00	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
13abce94-ed36-4549-ad14-9ccb136262a7_1_contigs.fa	NODE_10_length_148318_cov_68.430144	53026	54258	cardnewid_1119	1-1233/1233	===============	0/0	100.00	100.00	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
13abce94-ed36-4549-ad14-9ccb136262a7_1_contigs.fa	NODE_110_length_742_cov_103.039098	1	78	cardnewid_2295	98-175/972	.==............	0/0	8.02	100.00	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
13abce94-ed36-4549-ad14-9ccb136262a7_1_contigs.fa	NODE_110_length_742_cov_103.039098	94	567	cardnewid_1482	1-474/474	===============	0/0	100.00	100.00	cardformatted	001482	cardformatted~~~cardnewid_1482~~~001482
13abce94-ed36-4549-ad14-9ccb136262a7_1_contigs.fa	NODE_12_length_134339_cov_65.729194	125723	126395	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
13abce94-ed36-4549-ad14-9ccb136262a7_1_contigs.fa	NODE_13_length_112381_cov_67.283596	37980	38393	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
13abce94-ed36-4549-ad14-9ccb136262a7_1_contigs.fa	NODE_14_length_111451_cov_66.513055	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.03	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
13abce94-ed36-4549-ad14-9ccb136262a7_1_contigs.fa	NODE_14_length_111451_cov_66.513055	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
13abce94-ed36-4549-ad14-9ccb136262a7_1_contigs.fa	NODE_14_length_111451_cov_66.513055	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
13abce94-ed36-4549-ad14-9ccb136262a7_1_contigs.fa	NODE_16_length_102862_cov_66.033059	18294	19520	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.19	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
