#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_10_length_186539_cov_40.529073	127355	130468	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.04	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_10_length_186539_cov_40.529073	161728	161810	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_12_length_173875_cov_40.391092	132366	133038	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_13_length_169172_cov_41.519465	10755	11912	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.50	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_13_length_169172_cov_41.519465	96761	99910	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.63	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_13_length_169172_cov_41.519465	99933	101126	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_14_length_141735_cov_38.115525	44371	44784	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_15_length_132590_cov_47.413884	57062	58435	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_17_length_110760_cov_45.356125	827	1651	cardnewid_80	1-825/825	===============	0/0	100.00	93.82	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_17_length_110760_cov_45.356125	2020	2748	cardnewid_2042	1-729/729	===============	0/0	100.00	99.86	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_17_length_110760_cov_45.356125	3111	6224	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.33	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_17_length_110760_cov_45.356125	6249	7406	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.62	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_1_length_491332_cov_36.227863	60983	62391	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_1_length_491332_cov_36.227863	158759	159091	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_20_length_92415_cov_46.431188	15102	15734	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_21_length_80130_cov_36.048868	37961	38344	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_21_length_80130_cov_36.048868	76001	76325	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_21_length_80130_cov_36.048868	76317	76675	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.67	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_25_length_29924_cov_46.618923	21848	22200	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.28	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_2_length_413197_cov_39.346902	100840	102072	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.59	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
c7c88b0d-71b9-4b32-8ff5-adc8ac49176e_1_contigs.fa	NODE_2_length_413197_cov_39.346902	180331	182079	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.06	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
