#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_11_length_132277_cov_54.585076	74360	75727	cardnewid_137	1-1368/1374	===============	0/0	99.56	98.46	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_15_length_104275_cov_45.042621	71985	73193	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.26	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_15_length_104275_cov_45.042621	81824	83050	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.37	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_16_length_101846_cov_48.328489	48779	49309	cardnewid_1248	1-531/531	===============	0/0	100.00	98.68	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_16_length_101846_cov_48.328489	49436	50608	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.04	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_16_length_101846_cov_48.328489	50625	52163	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.05	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_1_length_579506_cov_45.795752	75329	78442	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.52	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_1_length_579506_cov_45.795752	109776	109858	cardnewid_1960	1-83/1305	=..............	0/0	6.36	95.18	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_1_length_579506_cov_45.795752	166619	170212	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.08	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_1_length_579506_cov_45.795752	170217	170831	cardnewid_954	1-615/615	===============	0/0	100.00	98.86	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_1_length_579506_cov_45.795752	171355	172410	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.54	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_1_length_579506_cov_45.795752	172410	173948	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.66	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_1_length_579506_cov_45.795752	273161	274129	cardnewid_1968	1-969/969	===============	0/0	100.00	97.63	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_1_length_579506_cov_45.795752	332345	333988	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.99	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_1_length_579506_cov_45.795752	475865	476586	cardnewid_1255	1-722/723	===============	0/0	99.86	96.81	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_1_length_579506_cov_45.795752	476583	477986	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.74	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_1_length_579506_cov_45.795752	479399	482476	cardnewid_1236	1-3078/3078	===============	0/0	100.00	93.96	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_1_length_579506_cov_45.795752	482477	485599	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.32	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_1_length_579506_cov_45.795752	485599	486846	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.59	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_1_length_579506_cov_45.795752	540018	541184	cardnewid_912	1-1167/1167	===============	0/0	100.00	96.92	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
03cc14eb-1d0b-4a75-b43b-bbf7d92c162a_1_contigs.fa	NODE_21_length_71606_cov_52.562192	8830	10296	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.82	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
