#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
b52f1ecd-9e12-4148-9d8c-4098a2507a2b_1_contigs.fa	NODE_10_length_185733_cov_49.872199	41017	41689	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
b52f1ecd-9e12-4148-9d8c-4098a2507a2b_1_contigs.fa	NODE_11_length_174327_cov_51.791857	10095	11252	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.24	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
b52f1ecd-9e12-4148-9d8c-4098a2507a2b_1_contigs.fa	NODE_11_length_174327_cov_51.791857	100012	103161	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.76	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
b52f1ecd-9e12-4148-9d8c-4098a2507a2b_1_contigs.fa	NODE_11_length_174327_cov_51.791857	103184	104377	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
b52f1ecd-9e12-4148-9d8c-4098a2507a2b_1_contigs.fa	NODE_12_length_172435_cov_62.062411	63621	64988	cardnewid_137	1-1368/1374	===============	0/0	99.56	98.61	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
b52f1ecd-9e12-4148-9d8c-4098a2507a2b_1_contigs.fa	NODE_13_length_167981_cov_60.103732	27971	29614	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.12	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
b52f1ecd-9e12-4148-9d8c-4098a2507a2b_1_contigs.fa	NODE_13_length_167981_cov_60.103732	58835	59866	cardnewid_1350	1-1032/1032	===============	0/0	100.00	94.86	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
b52f1ecd-9e12-4148-9d8c-4098a2507a2b_1_contigs.fa	NODE_13_length_167981_cov_60.103732	59866	61917	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.98	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
b52f1ecd-9e12-4148-9d8c-4098a2507a2b_1_contigs.fa	NODE_13_length_167981_cov_60.103732	61914	63380	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.68	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
b52f1ecd-9e12-4148-9d8c-4098a2507a2b_1_contigs.fa	NODE_15_length_144078_cov_61.448455	14931	16064	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.97	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
b52f1ecd-9e12-4148-9d8c-4098a2507a2b_1_contigs.fa	NODE_16_length_122951_cov_46.014169	120970	121383	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
b52f1ecd-9e12-4148-9d8c-4098a2507a2b_1_contigs.fa	NODE_1_length_368211_cov_59.297549	130427	131914	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.39	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
b52f1ecd-9e12-4148-9d8c-4098a2507a2b_1_contigs.fa	NODE_1_length_368211_cov_59.297549	152358	153177	cardnewid_1713	1-820/822	===============	0/0	99.76	98.17	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
b52f1ecd-9e12-4148-9d8c-4098a2507a2b_1_contigs.fa	NODE_1_length_368211_cov_59.297549	358990	359652	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
b52f1ecd-9e12-4148-9d8c-4098a2507a2b_1_contigs.fa	NODE_1_length_368211_cov_59.297549	360051	361208	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.70	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
b52f1ecd-9e12-4148-9d8c-4098a2507a2b_1_contigs.fa	NODE_1_length_368211_cov_59.297549	361220	364324	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.55	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
b52f1ecd-9e12-4148-9d8c-4098a2507a2b_1_contigs.fa	NODE_20_length_85750_cov_49.190457	26528	29641	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.52	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
b52f1ecd-9e12-4148-9d8c-4098a2507a2b_1_contigs.fa	NODE_20_length_85750_cov_49.190457	60936	61018	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
